path	source_sha256	clean_sha256	reason
README.md	d2cc57dbfc5463dec05a5c0a0d593b9da4479838beb45c53f112f6c28fa48051	966c771a20d97ee14e775956b68a26ba06fb46e91d72c79eaab44d0b52950a36	portable clean-repository links and Typst 0.15.1 build commands
holonics/mathematical-physics.typ	994a062b31578682650eef6647f4ab96ce5ea4e352d879f6b109e419a407a692	1f7f3e4329ca5c1a88b1ae3ccb4bf473cf866cc0706c43c49fbbd595153ab86f	Typst operator spelling for grad
mathematics/README.md	ae3c8353d07ffdb1cc2630421c1dbe32ebb4ee991e0840525da27537966b7ba2	1b36df04dfd2e4a4f5d3607bacb7a8f61072832e9b708a18ec4846ddbd75ac94	redirect live laboratory links to pinned reference snapshots
mathematics/theorems/exact-receiver-turn-return.typ	8e0692bc25742a57fdd9e55ba6acc527057da2d54bdf0832ab951fae149ccf85	e904719def87dcea4386f8b99d45d71ace4266497b6a038a9e3a8abc959e1496	Typst determinant and segment-label spelling
mathematics/theorems/four-member-projective-swing.typ	80e55eccb4f829b434bf4adb8b99fe7420812869457a93c6da322f367fc29145	25c744f00c94a398266bd494c3a4fc929027b39cd2003cbd8572cf12d82bea17	Typst projective application arrow and operator spelling
papers/elements-of-holonics/main.typ	747cbab175b1824cf0c43f12f81809c1cc96e948cbc5a457831f7085b429d7ca	12c050653be219760c8701345adc2a0ba8688027fa68d0e45a68198f822adb6b	Typst Planck-constant symbol spelling
papers/prime-archimedean-formulation-atlas/references.bib	9d688bd6f89decb2f5e29c25665c6ab6fd923749760b7cfc762e207292bb28f4	6b1fea4889655707f7e1183b9a66162bb46bcdb86cf3a6db6b36b82ab5c9e4e6	replace dead Clay Riemann URL
papers/riemann-receiver-geometry/main.typ	6d65ba53bd26bc42b9532dc48ea5fa91b8034c3475432ae00f435e7a8b15de68	d2170bd59ccd6659386ad6fab90ab1a8dfb4da2b79e560cf643f55b5f77dac78	Typst operator application spelling
papers/riemann-receiver-geometry/references.bib	a4992ebc8d3a1a05c331c95c3d5a6335451bf1de25eb46874077319e5096b04f	0f208860052042d7bc44cfdad3121e9b529162a275e43515a4ee5252cfedb515	replace dead Clay Riemann URL
synopsis/README.md	da98f91319f61e53df9ad7f004d3afcfaf63c49eafd4e2f5cca060a6f5d5afb0	a341fafef56aea7414933fdc1fdecdf15bc635c1d394276fdfec3485b1520474	portable clean-repository formal link and build command
