kind	owner	coordinate	transport	admitted	identity	lineage	obstruction	exact
root	family	0+0t	coefficientwise	1	191400	10556219969939644901	0	1
root	family	0+1t	coefficientwise	1	191401	10556219969939644902	0	1
root	family	1+0t	coefficientwise	1	191402	10556219969939644903	0	1
connection	discovery	-3	1/8,1/24;1/8,-1/8	1	191440	10556219969939644964	0	1
connection	discovery	-2	1/6,1/12;1/6,-1/6	1	191441	10556219969939644965	0	1
connection	discovery	-1	1/4,1/4;1/4,-1/4	1	191442	10556219969939644966	0	1
connection	discovery	1/2	1,-2;1,-1	1	191443	10556219969939644967	0	1
connection	discovery	2	-1/2,1/4;-1/2,1/2	1	191444	10556219969939644968	0	1
connection	holdout	3	-1/4,1/12;-1/4,1/4	1	191445	10556219969939644969	0	1
connection	holdout	4	-1/6,1/24;-1/6,1/6	1	191446	10556219969939644970	0	1
form	candidate0	-2,2;2,-1	discovery=0,holdout=0	0	191520	10556219969939645028	residual_retained	1
form	candidate1	0,-1;1,0	discovery=1,holdout=1	0	191521	10556219969939645029	residual_retained	1
form	candidate2	0,1;-1,0	discovery=1,holdout=1	1	191522	10556219969939645030	residual_retained	1
form	candidate3	1,0;0,1	discovery=0,holdout=0	0	191523	10556219969939645031	residual_retained	1
form	candidate4	0,1;1,0	discovery=0,holdout=0	0	191524	10556219969939645032	residual_retained	1
form	candidate5	1,0;0,0	discovery=0,holdout=0	0	191525	10556219969939645033	residual_retained	1
theorem_section	candidate0	dependencies=1	residuals=2	0	191600	10556219969939645124	0	1
theorem_section	candidate1	dependencies=7	residuals=8	0	191601	10556219969939645125	1	1
theorem_section	candidate2	dependencies=31	residuals=32	0	191602	10556219969939645126	2	1
theorem_section	candidate3	dependencies=63	residuals=0	1	191603	10556219969939645127	3	1
