family	presentation	kind	owner	coefficient	incidence	lineage
baseline	0	term	0	1	0,0,2	11795852869117260156
baseline	0	term	1	-1	0,5,0	11795852869117260156
baseline	0	term	2	1	1,1,0	11795852869117260156
baseline	0	term	3	-1	0,0,0	11795852869117260156
baseline	0	partial	0:0	1	0,1,0	11795852869117260156
baseline	0	partial	1:0	-5	0,4,0	11795852869117260157
baseline	0	partial	1:1	1	1,0,0	11795852869117260157
baseline	0	partial	2:0	2	0,0,1	11795852869117260158
baseline	0	ideal_basis	0	1	0,0,1	11795852869117260221
baseline	0	ideal_basis	1	1	1,0,0	11795852869117260221
baseline	0	ideal_basis	1	-5	0,4,0	11795852869117260221
baseline	0	ideal_basis	2	4	0,5,0	11795852869117260221
baseline	0	ideal_basis	2	-1	0,0,0	11795852869117260221
baseline	0	reduction	0	2	0,1,0	11795852869117260229
baseline	0	reduction	1	1	1,2,1	11795852869117260230
baseline	0	reduction	2	1	2,0,2	11795852869117260231
baseline	0	reduction	3	1	0,1,3	11795852869117260232
baseline	0	reduction	4	1	1,2,4	11795852869117260233
baseline	0	reduction	5	1	2,0,5	11795852869117260234
baseline	0	resultant	0	0	3125	1
baseline	0	resultant	0	1	0	1
baseline	0	resultant	0	2	0	1
baseline	0	resultant	0	3	0	1
baseline	0	resultant	0	4	0	1
baseline	0	resultant	0	5	-256	1
baseline	0	resultant_sample	0	265269	1	11795852869117260221
baseline	0	resultant_sample	1	65333	1	11795852869117260221
baseline	0	resultant_sample	2	11317	1	11795852869117260221
baseline	0	resultant_sample	3	3381	1	11795852869117260221
baseline	0	resultant_sample	4	3125	1	11795852869117260221
baseline	0	resultant_sample	5	2869	1	11795852869117260221
baseline	0	resultant_sample	6	-5067	1	11795852869117260221
baseline	0	resultant_sample	7	-59083	1	11795852869117260221
baseline	0	resultant_sample	8	-259019	1	11795852869117260221
baseline	0	bezout_f	0	0	3125	1
baseline	0	bezout_f	1	0	0	1
baseline	0	bezout_f	1	1	2500	1
baseline	0	bezout_f	2	0	0	1
baseline	0	bezout_f	2	1	0	1
baseline	0	bezout_f	2	2	2000	1
baseline	0	bezout_f	3	0	0	1
baseline	0	bezout_f	3	1	0	1
baseline	0	bezout_f	3	2	0	1
