owner	kind	row	column	value	lineage
factor_0	source_term	0	-	1:0:0:2	1711186366924053893
factor_0	source_term	1	-	-1:0:3:0	1711186366924053893
factor_0	source_term	2	-	1:0:2:0	1711186366924053893
factor_0	source_term	3	-	1:1:2:0	1711186366924053893
factor_0	source_term	4	-	-1:1:1:0	1711186366924053893
factor_0	root	0	-	0+0z	1711186366924053894
factor_0	root	1	-	1+0z	1711186366924053896
factor_0	root	2	-	0+1z	1711186366924053895
factor_0	discriminant	0	-	0	1711186366924053957
factor_0	discriminant	1	-	0	1711186366924053957
factor_0	discriminant	2	-	1	1711186366924053957
factor_0	discriminant	3	-	-2	1711186366924053957
factor_0	discriminant	4	-	1	1711186366924053957
factor_0	denominator	0	-	0	1711186366924053957
factor_0	denominator	1	-	2	1711186366924053957
factor_0	denominator	2	-	-2	1711186366924053957
factor_0	connection	0	0	0+1z	1711186366924053957
factor_0	connection	0	1	-1+0z	1711186366924053957
factor_0	connection	1	0	0+1z	1711186366924053957
factor_0	connection	1	1	0+-1z	1711186366924053957
factor_1	source_term	0	-	1:0:0:2	1711186366924053894
factor_1	source_term	1	-	-1:0:3:0	1711186366924053894
factor_1	source_term	2	-	1:0:2:0	1711186366924053894
factor_1	source_term	3	-	1:1:2:0	1711186366924053894
factor_1	source_term	4	-	-1:1:1:0	1711186366924053894
factor_1	root	0	-	0+0z	1711186366924053895
factor_1	root	1	-	1+0z	1711186366924053897
factor_1	root	2	-	0+1z	1711186366924053896
factor_1	discriminant	0	-	0	1711186366924053958
factor_1	discriminant	1	-	0	1711186366924053958
factor_1	discriminant	2	-	1	1711186366924053958
factor_1	discriminant	3	-	-2	1711186366924053958
factor_1	discriminant	4	-	1	1711186366924053958
factor_1	denominator	0	-	0	1711186366924053958
factor_1	denominator	1	-	2	1711186366924053958
factor_1	denominator	2	-	-2	1711186366924053958
factor_1	connection	0	0	0+1z	1711186366924053958
factor_1	connection	0	1	-1+0z	1711186366924053958
factor_1	connection	1	0	0+1z	1711186366924053958
factor_1	connection	1	1	0+-1z	1711186366924053958
product	basis	0	-	195450	1711186366924054020
product	polarization	0	-	1	1711186366924054020
product	cup	0	0	0	1711186366924054020
product	connection_t	0	0	0+0t	1711186366924054020
product	connection_u	0	0	0+0u	1711186366924054020
product	cup	0	1	1	1711186366924054020
product	connection_t	0	1	0+0t	1711186366924054020
product	connection_u	0	1	0+0u	1711186366924054020
product	cup	0	2	0	1711186366924054020
product	connection_t	0	2	0+0t	1711186366924054020
product	connection_u	0	2	0+0u	1711186366924054020
product	cup	0	3	0	1711186366924054020
product	connection_t	0	3	0+0t	1711186366924054020
product	connection_u	0	3	0+0u	1711186366924054020
product	cup	0	4	0	1711186366924054020
product	connection_t	0	4	0+0t	1711186366924054020
product	connection_u	0	4	0+0u	1711186366924054020
product	cup	0	5	0	1711186366924054020
product	connection_t	0	5	0+0t	1711186366924054020
product	connection_u	0	5	0+0u	1711186366924054020
product	basis	1	-	195451	1711186366924054020
product	polarization	1	-	1	1711186366924054020
product	cup	1	0	1	1711186366924054020
product	connection_t	1	0	0+0t	1711186366924054020
product	connection_u	1	0	0+0u	1711186366924054020
product	cup	1	1	0	1711186366924054020
