x	y	z	k	sx	sy	sz	sk	fixed	population
2	2	2	2	0	0	0	0	2	240
2	5	6	3	0	1	1	1	0	8
2	4	5	3	0	1	1	1	0	62
2	6	8	6	0	1	1	1	0	6
2	3	4	3	0	1	1	1	0	52
2	7	10	11	0	1	1	1	0	4
2	4	6	6	0	1	1	1	0	82
2	5	8	11	0	1	1	1	0	12
2	2	3	3	0	0	1	1	0	74
2	6	10	18	0	1	1	1	0	8
2	4	7	11	0	1	1	1	0	72
2	5	10	27	0	1	1	1	0	4
2	2	4	6	0	0	1	1	0	84
2	2	5	11	0	0	1	1	0	84
2	2	6	18	0	0	1	1	0	46
2	5	7	6	0	1	1	1	0	8
2	3	5	6	0	1	1	1	0	20
2	7	13	38	0	1	1	1	0	4
2	4	8	18	0	1	1	1	0	26
2	5	11	38	0	1	1	1	0	4
2	6	14	66	0	1	1	1	0	8
2	4	10	38	0	1	1	1	0	30
2	5	15	102	0	1	1	1	0	4
2	2	8	38	0	0	1	1	0	20
2	2	10	66	0	0	1	1	0	4
2	6	12	38	0	1	1	1	0	6
2	3	6	11	0	1	1	1	0	20
2	7	16	83	0	1	1	1	0	4
2	5	14	83	0	1	1	1	0	4
2	6	18	146	0	1	1	1	0	2
2	4	13	83	0	1	1	1	0	10
2	5	20	227	0	1	1	1	0	4
2	2	11	83	0	0	1	1	0	10
2	2	14	146	0	0	1	1	0	4
2	5	9	18	0	1	1	1	0	8
2	3	7	18	0	1	1	1	0	4
2	7	19	146	0	1	1	1	0	4
2	4	12	66	0	1	1	1	0	4
2	5	17	146	0	1	1	1	0	4
2	6	22	258	0	1	1	1	0	2
2	4	16	146	0	1	1	1	0	2
2	5	25	402	0	1	1	1	0	4
2	2	18	258	0	0	1	1	0	2
5	2	6	3	1	0	1	1	0	8
5	2	7	6	1	0	1	1	0	8
5	2	8	11	1	0	1	1	0	12
5	2	9	18	1	0	1	1	0	8
5	5	23	2	1	1	1	0	2	8
5	4	18	3	1	1	1	1	0	12
5	5	22	-18	1	1	1	1	0	12
5	6	29	30	1	1	1	1	0	16
5	3	13	6	1	1	1	1	0	8
5	4	16	-25	1	1	1	1	0	8
5	5	19	-66	1	1	1	1	0	8
5	7	34	38	1	1	1	1	0	8
5	4	20	39	1	1	1	1	0	12
5	6	25	-66	1	1	1	1	0	8
5	5	27	102	1	1	1	1	0	12
5	3	10	-18	1	1	1	1	0	4
5	4	12	-57	1	1	1	1	0	4
