source	ordinal	length	letters	a	b	c	d	lineage
0	0	1	0	1	1	0	1	170105
0	1	2	00	1	2	0	1	170106
0	2	3	000	1	3	0	1	170107
0	3	4	0000	1	4	0	1	170108
0	4	4	0001	4	3	1	1	170109
0	5	3	001	3	2	1	1	170110
0	6	4	0010	3	5	1	2	170111
0	7	4	0011	5	2	2	1	170112
0	8	2	01	2	1	1	1	170113
0	9	3	010	2	3	1	2	170114
0	10	4	0100	2	5	1	3	170115
0	11	4	0101	5	3	3	2	170116
0	12	3	011	3	1	2	1	170117
0	13	4	0110	3	4	2	3	170118
0	14	4	0111	4	1	3	1	170119
0	15	1	1	1	0	1	1	170120
0	16	2	10	1	1	1	2	170121
0	17	3	100	1	2	1	3	170122
0	18	4	1000	1	3	1	4	170123
0	19	4	1001	3	2	4	3	170124
0	20	3	101	2	1	3	2	170125
0	21	4	1010	2	3	3	5	170126
0	22	4	1011	3	1	5	2	170127
0	23	2	11	1	0	2	1	170128
0	24	3	110	1	1	2	3	170129
0	25	4	1100	1	2	2	5	170130
0	26	4	1101	2	1	5	3	170131
0	27	3	111	1	0	3	1	170132
0	28	4	1110	1	1	3	4	170133
0	29	4	1111	1	0	4	1	170134
1	0	1	0	1	1	0	1	170115
1	1	2	00	1	2	0	1	170116
1	2	3	000	1	3	0	1	170117
1	3	3	001	3	2	1	1	170118
1	4	3	003	-1	2	-1	1	170119
1	5	2	01	2	1	1	1	170120
1	6	3	010	2	3	1	2	170121
1	7	3	011	3	1	2	1	170122
1	8	3	012	2	-1	1	0	170123
1	9	2	03	0	1	-1	1	170124
1	10	3	030	0	1	-1	0	170125
1	11	3	032	0	1	-1	2	170126
1	12	3	033	-1	1	-2	1	170127
1	13	1	1	1	0	1	1	170128
1	14	2	10	1	1	1	2	170129
1	15	3	100	1	2	1	3	170130
1	16	3	101	2	1	3	2	170131
1	17	3	103	0	1	-1	2	170132
1	18	2	11	1	0	2	1	170133
1	19	3	110	1	1	2	3	170134
1	20	3	111	1	0	3	1	170135
1	21	3	112	1	-1	2	-1	170136
1	22	2	12	1	-1	1	0	170137
1	23	3	121	0	-1	1	0	170138
1	24	3	122	1	-2	1	-1	170139
1	25	3	123	2	-1	1	0	170140
1	26	1	2	1	-1	0	1	170141
1	27	2	21	0	-1	1	1	170142
1	28	3	210	0	-1	1	2	170143
1	29	3	211	-1	-1	2	1	170144
1	30	3	212	0	-1	1	0	170145
1	31	2	22	1	-2	0	1	170146
1	32	3	221	-1	-2	1	1	170147
1	33	3	222	1	-3	0	1	170148
1	34	3	223	3	-2	-1	1	170149
1	35	2	23	2	-1	-1	1	170150
1	36	3	230	2	1	-1	0	170151
1	37	3	232	2	-3	-1	2	170152
1	38	3	233	3	-1	-2	1	170153
1	39	1	3	1	0	-1	1	170154
1	40	2	30	1	1	-1	0	170155
1	41	3	300	1	2	-1	-1	170156
1	42	3	301	2	1	-1	0	170157
1	43	3	303	0	1	-1	0	170158
1	44	2	32	1	-1	-1	2	170159
1	45	3	321	0	-1	1	2	170160
1	46	3	322	1	-2	-1	3	170161
1	47	3	323	2	-1	-3	2	170162
1	48	2	33	1	0	-2	1	170163
1	49	3	330	1	1	-2	-1	170164
1	50	3	332	1	-1	-2	3	170165
1	51	3	333	1	0	-3	1	170166
2	0	1	0	0	1	-1	2	170125
2	1	2	00	-1	2	-2	3	170126
2	2	3	000	-2	3	-3	4	170127
2	3	3	001	5	-1	6	-1	170128
2	4	3	003	-7	5	-10	7	170129
2	5	2	01	4	-1	5	-1	170130
2	6	3	010	1	2	1	3	170131
2	7	3	011	8	-3	11	-4	170132
2	8	3	012	7	-4	9	-5	170133
2	9	2	03	-4	3	-7	5	170134
2	10	3	030	-3	2	-5	3	170135
2	11	3	032	-5	4	-9	7	170136
2	12	3	033	-8	5	-13	8	170137
2	13	1	1	3	-1	4	-1	170138
2	14	2	10	1	1	1	2	170139
2	15	3	100	-1	3	-2	5	170140
2	16	3	101	7	-2	11	-3	170141
2	17	3	103	-5	4	-9	7	170142
2	18	2	11	5	-2	8	-3	170143
2	19	3	110	2	1	3	2	170144
2	20	3	111	7	-3	12	-5	170145
2	21	3	112	8	-5	13	-8	170146
2	22	2	12	5	-3	7	-4	170147
2	23	3	121	3	-2	5	-3	170148
2	24	3	122	7	-5	10	-7	170149
2	25	3	123	7	-4	9	-5	170150
2	26	1	2	2	-1	1	0	170151
2	27	2	21	2	-1	3	-1	170152
2	28	3	210	1	0	1	1	170153
2	29	3	211	2	-1	5	-2	170154
2	30	3	212	3	-2	5	-3	170155
2	31	2	22	3	-2	2	-1	170156
2	32	3	221	1	-1	2	-1	170157
2	33	3	222	4	-3	3	-2	170158
2	34	3	223	5	-3	2	-1	170159
2	35	2	23	2	-1	-1	1	170160
2	36	3	230	1	0	-1	1	170161
2	37	3	232	3	-2	-1	1	170162
2	38	3	233	2	-1	-3	2	170163
2	39	1	3	-1	1	-4	3	170164
2	40	2	30	-1	1	-3	2	170165
2	41	3	300	-1	1	-2	1	170166
2	42	3	301	1	0	-1	1	170167
2	43	3	303	-3	2	-5	3	170168
2	44	2	32	-1	1	-5	4	170169
2	45	3	321	1	0	1	1	170170
2	46	3	322	-1	1	-6	5	170171
2	47	3	323	-3	2	-11	7	170172
2	48	2	33	-3	2	-8	5	170173
2	49	3	330	-2	1	-5	2	170174
2	50	3	332	-4	3	-11	8	170175
2	51	3	333	-5	3	-12	7	170176
