path	lines	DOCS_R0_inbound_sources	classification	current_guide_owner	immutable_revision_citation_replacement	evidence_or_required_transfer
archive/plans/ADAPTING_A_NEW_ECOLOGY.md	91	0	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/ADAPTING_A_NEW_ECOLOGY.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/ARBITRARY_LEARNING_MACHINE.md	135	1	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/ARBITRARY_LEARNING_MACHINE.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/ATHENA_THE_DIMENSION_IS_DECLARED_AND_THE_RANK_IS_THE_FILE_SIZE.md	239	2	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/ATHENA_THE_DIMENSION_IS_DECLARED_AND_THE_RANK_IS_THE_FILE_SIZE.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/CONTAMINATION_BANS.md	36	3	unresolved	docs/plans/THE_ROADMAP.md; docs/REPOSITORY.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/CONTAMINATION_BANS.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/PURE_HOLONIC_ENGINE.md	194	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/PURE_HOLONIC_ENGINE.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_ADDRESSED_TRANSPORT_CHAIN_COMPOSES_SWING_BOUNDARY_ORIENTATION_HOLONOMY_AND_RECEIVER_FIBRES.md	1093	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ADDRESSED_TRANSPORT_CHAIN_COMPOSES_SWING_BOUNDARY_ORIENTATION_HOLONOMY_AND_RECEIVER_FIBRES.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_ADMISSION_IS_A_QUOTIENT_AND_THE_BREADTH_IS_A_GROUP.md	236	2	unresolved	docs/plans/THE_ROADMAP.md; docs/REPOSITORY.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ADMISSION_IS_A_QUOTIENT_AND_THE_BREADTH_IS_A_GROUP.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_AGENTIC_ATHENA_EMANATES_THROUGH_ADDRESSED_CONTINUATION_AND_OPTICAL_HOLONS_GROW_ACROSS_SCALES.md	499	4	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_AGENTIC_ATHENA_EMANATES_THROUGH_ADDRESSED_CONTINUATION_AND_OPTICAL_HOLONS_GROW_ACROSS_SCALES.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ARROW_IS_THE_DIVISION_AND_ATTENTION_KEEPS_ONLY_ITS_AIM.md	192	2	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ARROW_IS_THE_DIVISION_AND_ATTENTION_KEEPS_ONLY_ITS_AIM.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ASSEMBLY.md	263	18	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ASSEMBLY.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ATHENA_ALPHA_CULTIVATES_THE_COMPLETE_LABORATORY_EXCHANGE_AND_RETURNED_DIFFERENCES_COMPACTIFY_INTO_NATIVE_HEXIS.md	439	1	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_ALPHA_CULTIVATES_THE_COMPLETE_LABORATORY_EXCHANGE_AND_RETURNED_DIFFERENCES_COMPACTIFY_INTO_NATIVE_HEXIS.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ATHENA_ALPHA_IS_REFOUNDED_AS_A_RECEIVER_HISTORY_QUOTIENT_AND_RETURNED_DEFECTS_CULTIVATE_ONE_GLUED_CAUSAL_MORPHOLOGY.md	864	5	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_ALPHA_IS_REFOUNDED_AS_A_RECEIVER_HISTORY_QUOTIENT_AND_RETURNED_DEFECTS_CULTIVATE_ONE_GLUED_CAUSAL_MORPHOLOGY.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ATHENA_ALPHA_RETURNS_EVERY_ADMITTED_ORGAN_THROUGH_ONE_FLUID_MEMBRANE_AND_DIRECT_SENSORY_PRODUCTS_CANNOT_REGRESS_TO_DIAGNOSTIC_SHADOWS.md	312	1	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_ALPHA_RETURNS_EVERY_ADMITTED_ORGAN_THROUGH_ONE_FLUID_MEMBRANE_AND_DIRECT_SENSORY_PRODUCTS_CANNOT_REGRESS_TO_DIAGNOSTIC_SHADOWS.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
