path	lines	DOCS_R0_inbound_sources	classification	current_guide_or_consumer_owner	immutable_revision_coordinate	audit_evidence_and_required_citation_action
archive/equation-atlas/README.md	64	2	unique source fixture/law	research/records/2026-08-19_THE_FILLED_POLYGON_IS_A_TWO_CHAIN_THE_COSMOLOGICAL_FLOW_IS_A_SYMMETRY_QUOTIENT_AND_THE_EQUATION_ATLAS_RETAINS_ITS_FIBRES.md; research/records/2026-08-20_*; crates/holonic-life/examples/the_mathematical_source_circulates_without_a_grammar.rs; crates/holonic-life/examples/r0/source.rs	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/equation-atlas/README.md	Curated equations/relations and their schema are unique historical research fixtures; live Rust examples open equations.jsonl, relations.jsonl and manifest.json, and dated records cite specific equation rows. Do not fold until both callers are updated and record citations become immutable revision/line coordinates.
archive/equation-atlas/equations.jsonl	210	1	unique source fixture/law	research/records/2026-08-19_THE_FILLED_POLYGON_IS_A_TWO_CHAIN_THE_COSMOLOGICAL_FLOW_IS_A_SYMMETRY_QUOTIENT_AND_THE_EQUATION_ATLAS_RETAINS_ITS_FIBRES.md; research/records/2026-08-20_*; crates/holonic-life/examples/the_mathematical_source_circulates_without_a_grammar.rs; crates/holonic-life/examples/r0/source.rs	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/equation-atlas/equations.jsonl	Curated equations/relations and their schema are unique historical research fixtures; live Rust examples open equations.jsonl, relations.jsonl and manifest.json, and dated records cite specific equation rows. Do not fold until both callers are updated and record citations become immutable revision/line coordinates.
archive/equation-atlas/manifest.json	55	0	unique source fixture/law	research/records/2026-08-19_THE_FILLED_POLYGON_IS_A_TWO_CHAIN_THE_COSMOLOGICAL_FLOW_IS_A_SYMMETRY_QUOTIENT_AND_THE_EQUATION_ATLAS_RETAINS_ITS_FIBRES.md; research/records/2026-08-20_*; crates/holonic-life/examples/the_mathematical_source_circulates_without_a_grammar.rs; crates/holonic-life/examples/r0/source.rs	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/equation-atlas/manifest.json	Curated equations/relations and their schema are unique historical research fixtures; live Rust examples open equations.jsonl, relations.jsonl and manifest.json, and dated records cite specific equation rows. Do not fold until both callers are updated and record citations become immutable revision/line coordinates.
archive/equation-atlas/relations.jsonl	194	0	unique source fixture/law	research/records/2026-08-19_THE_FILLED_POLYGON_IS_A_TWO_CHAIN_THE_COSMOLOGICAL_FLOW_IS_A_SYMMETRY_QUOTIENT_AND_THE_EQUATION_ATLAS_RETAINS_ITS_FIBRES.md; research/records/2026-08-20_*; crates/holonic-life/examples/the_mathematical_source_circulates_without_a_grammar.rs; crates/holonic-life/examples/r0/source.rs	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/equation-atlas/relations.jsonl	Curated equations/relations and their schema are unique historical research fixtures; live Rust examples open equations.jsonl, relations.jsonl and manifest.json, and dated records cite specific equation rows. Do not fold until both callers are updated and record citations become immutable revision/line coordinates.
archive/equation-atlas/schema.json	131	0	unique source fixture/law	research/records/2026-08-19_THE_FILLED_POLYGON_IS_A_TWO_CHAIN_THE_COSMOLOGICAL_FLOW_IS_A_SYMMETRY_QUOTIENT_AND_THE_EQUATION_ATLAS_RETAINS_ITS_FIBRES.md; research/records/2026-08-20_*; crates/holonic-life/examples/the_mathematical_source_circulates_without_a_grammar.rs; crates/holonic-life/examples/r0/source.rs	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/equation-atlas/schema.json	Curated equations/relations and their schema are unique historical research fixtures; live Rust examples open equations.jsonl, relations.jsonl and manifest.json, and dated records cite specific equation rows. Do not fold until both callers are updated and record citations become immutable revision/line coordinates.
archive/experiments/2026-09-04-additive-equalization/README.md	28	0	unique experiment fixture	research/records/2026-09-04_HNP1_ADDITIVE_EQUALIZATION_CHANGED_CONDUCT_BUT_DID_NOT_FOUND_A_LEARNING_COMPARISON.md; docs/RETRACTIONS.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-04-additive-equalization/README.md	Rejected attempt source/patch retained to distinguish observed effects from unjustified Add equalization. The HNP1 record preserves interpretation but not every reconstruction byte; retain immutable source coordinate in the record.
archive/experiments/2026-09-04-additive-equalization/integration.patch	107	0	unique experiment fixture	research/records/2026-09-04_HNP1_ADDITIVE_EQUALIZATION_CHANGED_CONDUCT_BUT_DID_NOT_FOUND_A_LEARNING_COMPARISON.md; docs/RETRACTIONS.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-04-additive-equalization/integration.patch	Rejected attempt source/patch retained to distinguish observed effects from unjustified Add equalization. The HNP1 record preserves interpretation but not every reconstruction byte; retain immutable source coordinate in the record.
archive/experiments/2026-09-04-additive-equalization/junction_return_hnp1.rs	155	0	unique experiment fixture	research/records/2026-09-04_HNP1_ADDITIVE_EQUALIZATION_CHANGED_CONDUCT_BUT_DID_NOT_FOUND_A_LEARNING_COMPARISON.md; docs/RETRACTIONS.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-04-additive-equalization/junction_return_hnp1.rs	Rejected attempt source/patch retained to distinguish observed effects from unjustified Add equalization. The HNP1 record preserves interpretation but not every reconstruction byte; retain immutable source coordinate in the record.
archive/experiments/2026-09-04-additive-equalization/native-control.json	12300	0	unique measured receipt	research/records/2026-09-04_HNP1_ADDITIVE_EQUALIZATION_CHANGED_CONDUCT_BUT_DID_NOT_FOUND_A_LEARNING_COMPARISON.md; docs/RETRACTIONS.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-04-additive-equalization/native-control.json	README marks this JSON as the unchanged measured actual receipt (127 contacts, factor ranks 0→1778→3556→5334, withdrawal/restoration controls); cited by the HNP1 research record. Preserve exact input/output file coordinate in that record before any fold.
archive/experiments/2026-09-04-additive-equalization/operative_contact.rs	517	0	unique experiment fixture	research/records/2026-09-04_HNP1_ADDITIVE_EQUALIZATION_CHANGED_CONDUCT_BUT_DID_NOT_FOUND_A_LEARNING_COMPARISON.md; docs/RETRACTIONS.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-04-additive-equalization/operative_contact.rs	Rejected attempt source/patch retained to distinguish observed effects from unjustified Add equalization. The HNP1 record preserves interpretation but not every reconstruction byte; retain immutable source coordinate in the record.
