worktree	HEAD	branch	tracked_dirty_entries	untracked_status_entries	R0_role
.	d17910d3	codex/restructure-r0	2	4	active_checkout
.local/p11-base	5b7c89ab	detached	0	0	preserved_baseline_or_evidence
.local/p11-wt	72eac4a5	wip/consolidation-phase-11	0	0	paused_unverified_WIP
.local/p12a-base	5b7c89ab	detached	0	0	preserved_baseline_or_evidence
.local/p12a-wt	0ee4ea6d	wip/consolidation-phase-12a	0	0	paused_unverified_WIP
.local/p12b-base	7e204283	detached	0	0	preserved_baseline_or_evidence
.local/p12b-wt	eda4ed3b	wip/consolidation-phase-12b	0	0	paused_unverified_WIP
.local/p13-base	883f33d4	detached	0	0	preserved_baseline_or_evidence
.local/p13-wt	883f33d4	detached	18	1	preserved_baseline_or_evidence
.local/p15/base	4dff57c8	detached	1	1	preserved_baseline_or_evidence
.local/p15/head	5b7c89ab	detached	48	3	preserved_baseline_or_evidence
.local/p15/work	883f33d4	detached	43	3	preserved_baseline_or_evidence
.local/p16-base-tree	4dff57c8	detached	0	0	preserved_baseline_or_evidence
.local/p16-verify	5b7c89ab	detached	41	1	preserved_baseline_or_evidence
.local/p8a-wt	7c4063b5	detached	16	0	preserved_baseline_or_evidence
.local/reaction-wt	c58f8c7d	detached	17	3	preserved_baseline_or_evidence
.local/verify-wt	7e204283	detached	43	1	preserved_baseline_or_evidence
.local/worktrees/athena-math-review-2026-09-09	5167e325	detached	0	1	preserved_baseline_or_evidence
.local/worktrees/tube-current	04064e78	detached	0	1	preserved_baseline_or_evidence
