worktree	paths_or_group	dirty_counts_and_hashes	disposition	evidence
.local/p13-wt	crates/holonic-engine/src/{cuda_refine.rs,cuda_refine/**,factored_moment.rs,factored_moment/**,receiver_history_compression/{factored_forms,projective_history}.rs}	18 tracked + 1 untracked; tracked diff sha256=4cf9c710bed6a39e4d606f1dabf0c1cad203eb4acda1dad5194bf34ce840c192; untracked storage.rs sha256=1a788bc4c299625135bf31c16485794654d55cee270f014402f340c84880434c	fold	Every one of the 18 modified tracked files and untracked factored_moment/storage.rs was byte-identical to current checkout at audit time. Current main includes phase 13/15/16 commits (5b7c89ab, 7e204283, 009e8363); HEAD 883f33d4 predates them. No unique source remains.
.local/p15/base	crates/holonic-engine/src/holonic_intelligence.rs; crates/holonic-engine/src/holonic_intelligence/extraction_equality_tests.rs	1 tracked + 1 untracked; tracked diff sha256=08bfba3b1d733e785a427014b2740dbc1ad0ff159e5f5d91b3b94b0e303b51cc; untracked extraction_equality_tests.rs sha256=451250146c77057dea21f38dfd5bc6fbe9ca4f6f6aec025888416019d263d361	fold	This is the pre-phase-15 extraction-test draft (HEAD 4dff57c8); its NativeFullSessionRest comparison was advanced to ExtractedOperatorRest and the current equality harness in landed commit 7e204283. Current holonic_intelligence.rs exports extracted_operator; the draft behavior is represented by current tests and plan evidence.
.local/p15/head	crates/holonic-engine/examples/{advance_full_native_operator_hna2.rs,advance_full_native_operator_prefix_hna3.rs,complete_full_native_recurrence_hna3.rs,recurrent_native_operator_hna2_hna3.rs}; crates/holonic-engine/src/holonic_intelligence/**; crates/holonic-engine/src/soulkiller/**; crates/holonics-hna/{examples/**,src/**}; docs/{ARCHITECTURE_MAP.md,ATHENA.md,HNN_FORMULA.md,RUST_FRAMEWORK.md,plans/THE_HOLON_CORE_FOUNDS_THE_NATIVE_MACHINERY.md}	48 tracked + 4 untracked; tracked diff sha256=6d8b0f79eb410065020673d4a68f8311242efff8ca5591101940962984b3cc08; untracked extracted_operator.rs sha256=bdf438eb57aafd26412d69c9a6263cad17448c5f28e5d25a1297a50accc61107; extraction_equality_tests.rs sha256=947a006394d3a3c4ad81980c7438cd27df5cd14e14e93bba3574d9ac169144f0; fixtures phase15_branch_rest.json sha256=7a51b273e7bfe2a0154376bf19397d1d8d0020c803411e3b100771852b6919d9 and phase15_continuing_return_rest.bin sha256=be0f2af7b44b4dde2e2a54b1dbfba194e6f4d798f0e18eec4eedc88c6d20c99f	fold	All changed source files and all four untracked files were byte-identical to current checkout. The source and fixture set is committed in 7e204283; remaining nonidentical documentation is an older snapshot relative to the current plan and RUST_FRAMEWORK restructure status. No unique source or evidence remains.
.local/p15/work	crates/holonic-engine/examples/{advance_full_native_operator_hna2.rs,advance_full_native_operator_prefix_hna3.rs,complete_full_native_recurrence_hna3.rs,recurrent_native_operator_hna2_hna3.rs}; crates/holonic-engine/src/holonic_intelligence/**; crates/holonic-engine/src/soulkiller/**; crates/holonics-hna/{examples/**,src/**};	43 tracked + 4 untracked; tracked diff sha256=36b27605dd3cf2752f1b96ae593ac308a09818757d52e8d8098d3a99f7de33de; untracked file hashes are identical to .local/p15/head	fold	Every listed Rust file (including the four shared untracked files) was byte-identical to current checkout. This snapshot is the pre-consolidation base 883f33d4 for the work committed in 7e204283; no unique source remains.
.local/p16-verify	crates/holonic-core/src/holon.rs; crates/holonic-engine/{examples/**,src/**}; crates/holonic-engine/src/world/scaffold.rs	41 tracked + 1 untracked; tracked diff sha256=a739589c10acee379527fc2648aa6b0440c9296379a19627a50f16a1575cabea; untracked scaffold.rs sha256=733d0a74d092dbeb937f663674c6fa0f5d96329a3fc6bb188eac3d9479b79e61	fold	All 41 modified source/example files and world/scaffold.rs were byte-identical to current checkout. They are the phase-16 tree committed as 009e8363; its verification receipt and full phase disposition are also present in current docs/VERIFICATION_RECEIPTS.tsv and docs/plans/THE_HOLON_CORE_FOUNDS_THE_NATIVE_MACHINERY.md.
.local/p8a-wt	crates/holonic-engine/build.rs; crates/holonic-engine/kernels/{enclosure_cayley.cuh,exact_resident_section.cu}; crates/holonic-engine/src/native_ecology/constitutive_fibre/field{.rs,/material_transport/**}; crates/holonic-engine/src/resident_section{.rs,/surface_enclosure_composition.rs}; crates/holonics-hna/src/native/coupled_wave/body/field/incident{.rs,/energy.rs,/holon_chart.rs}; crates/holonics-hna/src/native/field_session/generator_application/deposition_probe.rs	16 tracked, 0 untracked; tracked diff sha256=dc631c549f36a490873189c4df7f769e12a081ce35694c2048d0ab0ceca4778c	keep	The Cayley reaction operators, certified enclosure, exact adjoint, incident energy/chart source and deposition probe are present in current source; the old API re-export changes are superseded by the current module layout. However three dirty receipt additions at lines 196–198 of this snapshot contain unique evidence details: check breakdown (engine containment at |c|≈300, incident 35, chart 3 and adjoint central-difference error <1e-3), silent balances/residuals exactly zero, and update median/checkpoint size (8.96 s/93.5 MB). Current docs/VERIFICATION_RECEIPTS.tsv lines 197–198 preserve only summarized phase-8a checks and measurements. Capture the three detailed receipt rows or explicitly account for their detail before R0 closure. Source lineage: 7c4063b5 adds the reaction law/probe; current source has later phase-8a refinements.
.local/reaction-wt	crates/holonic-core/{lib.rs,reaction.rs}; crates/holonic-engine/kernels/enclosure_composition.cuh; crates/holonic-engine/src/native_ecology/constitutive_fibre/field{.rs,/material_transport/**}; crates/holonic-engine/src/resident_section/surface_enclosure_composition.rs; crates/holonics-hna/examples/support/generator_machine.rs; crates/holonics-hna/src/native{.rs,/coupled_wave/**,/field_session/generator_application/**}	17 tracked + 3 untracked; tracked diff sha256=6afad418af8b4568fac78e1eb99761584eb3a32c674b12f53135d2dbd41de9f1; untracked reaction.rs sha256=fc386c47e66445b663c6181b07d425ced9ca31d7761aef36a43b8e0c314f26b9; reaction_law.rs sha256=76fd2ec14147a2c79fd4e6649db32d526889ae54e832dc778ca28d7bd671df4d; deposition_probe.rs sha256=9fcf073cd56b8d399c227093edb3c07be4ecac75576dda2c714f08d23016dbea	fold	The untracked core reaction law is byte-identical to current crates/holonic-core/src/reaction.rs. The engine reaction_law and HNN deposition_probe are earlier drafts of current files (their current successors are present); the core operation and consumers landed in 7c4063b5 and were refined by phase 8a. Current source retains the certified power-neutral law, Cayley step/adjoint, incident material return and probe. This snapshot's dirty paths add no unique source beyond the phase-8a receipt detail separately marked keep.
.local/verify-wt	crates/holonic-core/src/holon.rs; crates/holonic-engine/{examples/**,src/**}; docs/VERIFICATION_RECEIPTS.tsv; docs/plans/THE_HOLON_CORE_FOUNDS_THE_NATIVE_MACHINERY.md; crates/holonic-engine/src/world/scaffold.rs	43 tracked + 1 untracked; tracked diff sha256=535b3e80fb6d75fa00780381e81f00234be2d56dd84cb8b274b55dfd83159591; untracked scaffold.rs sha256=733d0a74d092dbeb937f663674c6fa0f5d96329a3fc6bb188eac3d9479b79e61	fold	All source files and the untracked scaffold were byte-identical to current checkout. The added phase-16 receipt line is byte-identical to current receipt; the added plan material is present in current restructure/consolidation docs. Remaining diff is older plan wording and a receipt snapshot, superseded by current docs and phase-16 commit 009e8363.
.local/worktrees/athena-math-review-2026-09-09	crates/holonic-engine/examples/normal_geometry_review.rs	1 untracked; worktree sha256=a6f9d1298b7ea689b30ef8caa0f5f7ad1860654932e2f439c1f38e9209922e4e; current tracked sha256=43b48cd7e86194666914c59b13e43519430b600689fc9f955e2a0e64fe236358; unified diff sha256=251106093eb9473c8ad8e6379878f5f93ccd595ece09bcf03d0b03a3e9a861ac	fold	Historical detached HEAD 5167e325 contains the example as an untracked file. Comparing its bytes to current tracked crates/holonic-engine/examples/normal_geometry_review.rs shows the historical file is a strict subset; the only current additions are the four-step propagation-before-reflection phase control and its receipt field. Its normal residual-preservation, gain/deposit defect identity, square-completion/source-collision controls and complete/open reflection assertions are all present in current source and exact receipts research/experiments/normal_geometry_review/{2026-09-09_exact.json,2026-09-09_propagated_phase.json}; README and research/records/2026-09-09_MATHEMATICAL_REVIEW_NORMAL_GEOMETRY_AND_CLOSED_RETURNS.md describe the scope. docs/ARCHITECTURE_MAP.md maps the normal controls to Physics/AccumulatedNormalResponse.lean and the existing native normal realization. No unique law, test or evidence requires capture.
.local/worktrees/tube-current	crates/holonic-engine/examples/four_torus_current.rs	1 untracked; worktree sha256=5d3dddfc8c211ceab0d74d2851b87eb166843ccd3fa928af1aadb49d8b4f8e9e; current tracked sha256=5d3dddfc8c211ceab0d74d2851b87eb166843ccd3fa928af1aadb49d8b4f8e9e; unified diff sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fold	The worktree example is byte-identical to current tracked source. Its finite rational four-torus current, two-face constitutive response, six-coordinate reduction, constitutive scale passage and bounded execution scope are documented in docs/ARCHITECTURE_MAP.md and research/experiments/four_torus_current/README.md, with corresponding Lean owners Physics/{FourTorusCurrentChart,TwoFaceConstitutive,ConstitutiveCurrentReduction,ConstitutiveScale}. No unique source or evidence remains.
