# Every numeric level authored inside a library organ, with its disposition.
#
# THE LAW: a level is either read off the material or declared by the caller. It is never
# authored inside the organ. See canon/THE_AUTHORED_LEVEL.md.
#
# MATERIAL  a fact that cannot vary; `why` names the theorem.
# ABI       hardware, wire format, or foreign interface.
# APERTURE  declared, returns its outside, and `why` states what would derive it.
# PIN       a contaminant; `why` carries the excision plan.
#
# Regenerate: python3 tools/authored_levels.py --write
# Verify:     python3 tools/authored_levels.py --check
disposition	owner	name	value	why
MATERIAL	crates/holonic-engine/src/arithmetic_monodromy.rs	LEAST_DEGREE_WITH_A_DISCRIMINANT	2	THEOREM: disc(f) = (-1)^(n(n-1)/2) Res(f,f')/a_n requires deg f' >= 1, hence n >= 2. Stated independently by rational_polynomial::integer_discriminant, which refuses degree < 2.
ABI	crates/holonic-engine/src/conditioned_derivation.rs	AT_END_RECEIVER	0	an index or identity element, not a level
APERTURE	crates/holonic-engine/src/conditioned_derivation.rs	COMMITTING_RECURRENCE	2	Two occurrences before a route commits. Declared, and the withheld routes are RETURNED as lineage rather than discarded. To derive: the recurrence a receiver requires is that receiver\u2019s declaration, and belongs with it.
ABI	crates/holonic-engine/src/conditioned_derivation.rs	STEM_RECEIVER_BASE	1	an index or identity element, not a level
ABI	crates/holonic-engine/src/cuda_aperture.rs	DEVICE_MAX_GRID_DIM_X	5	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_aperture.rs	DEVICE_MAX_THREADS_PER_BLOCK	1	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_aperture.rs	DEVICE_WARP_SIZE	10	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_aperture.rs	FUNCTION_MAX_THREADS_PER_BLOCK	0	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_aperture.rs	TILE_EDGE	16	CUDA launch geometry, fixed by the device interface
MATERIAL	crates/holonic-engine/src/cuda_refine.rs	ABSENT	0	The identity of a TERMINUS, and the theorem is token_invariance's own: a terminus is family-invariant -- deleting a receiver never merges 'the whole ended' with a reading -- so it must be a value no reading can take. Zero is reserved BEFORE any reading is assigned an identity, so the reservation is what makes it disjoint, not the number. It is mirrored by REFINE_ABSENT in kernels/refine_shell.cu and the two must agree or the wire is wrong.
ABI	crates/holonic-engine/src/cuda_refine.rs	DEVICE_MAX_GRID_DIM_X	5	CUdevice_attribute / CUfunction_attribute selector from cuda.h. ABI in the strict sense: the integer NAMES a question and a different value asks a different one.
ABI	crates/holonic-engine/src/cuda_refine.rs	DEVICE_MAX_THREADS_PER_BLOCK	1	CUdevice_attribute / CUfunction_attribute selector from cuda.h. ABI in the strict sense: the integer NAMES a question and a different value asks a different one.
ABI	crates/holonic-engine/src/cuda_refine.rs	DEVICE_WARP_SIZE	10	CUdevice_attribute / CUfunction_attribute selector from cuda.h. ABI in the strict sense: the integer NAMES a question and a different value asks a different one.
