# Closure addresses of the returns under `output/`.
# One row per driver. `closure` is taken over the driver source, every source file of the
# crate it lives in, and that crate's manifest — so it moves if anything that could change
# what the driver returns moves. `CLAUDE.md` §0 lesson 1's second half.
# `producer` is `ORPHAN` when no driver in the tree bears the directory's name: that is a
# return the tree cannot reproduce, and it is reported rather than skipped.
driver	producer	closure	sources
agentic-research-kernel	ORPHAN	-	0
analytic-field-transport	crates/holonic-engine/examples/analytic_field_transport.rs	8e3dc081849b7454ec3d8988f02a78f53325c850d19cf86dadde93678fdba98b	119
arithmetic-dimensional-receiver	crates/holonic-engine/examples/arithmetic_dimensional_receiver.rs	8eaabebea9ff2c791871bb361cb0a95d0ca42cac7cc769b8983746193bd6f937	119
eros_cohered_corpus	soma/life/examples/eros_cohered_corpus.rs	27228f702c60e5106a386110e7c20f506e1ad1926ce10cd3952d261c199a8edf	60
eros_contextual_retriangulation	soma/life/examples/eros_contextual_retriangulation.rs	d4a3369aad8857d96ac9a2a84eb143b21917eb488bbf626cf4a4e455165f8a44	60
eros_euclidean_worldline	soma/life/examples/eros_euclidean_worldline.rs	4028f3c7133e86fa52233ab162cdc89308e696c45b3acd091c9a2532bc05a99b	60
eros_exact_algorithm_ecology	soma/life/examples/eros_exact_algorithm_ecology.rs	8b9b0dc5ee8eaa622cfc9f65060b27327e8779b1cd25149f34d72a37f9a756db	60
eros_exact_growing_calculator	soma/life/examples/eros_exact_growing_calculator.rs	74f7ace01633e2f217bd9cd05465777661383c27fd00a016936cd87a652f5cd4	60
eros_formula_ecology	soma/life/examples/eros_formula_ecology.rs	6ecec8cbaf7c97ab9b72416c33f4309d21f29446af39fa992b944c9411007a5c	60
eros_holonic_training_ecology	soma/life/examples/eros_holonic_training_ecology.rs	3f2395e7d646c2f3f139d7f429a66a5d43f18313191827622b2b64e636fd01b4	60
eros_inherited_law_ecology	soma/life/examples/eros_inherited_law_ecology.rs	08642e5ab0b6144b718327e946ddbf4075ad60df0b445d6f097a22b517fc2a22	60
eros_mathematics_instance_rest	soma/life/examples/eros_mathematics_instance_rest.rs	f3cc337ccb76a47e69c4b71c98894ac8360bfefa688eb39516873f9408ff54a5	60
eros_morphological_language_generation	soma/life/examples/eros_morphological_language_generation.rs	19ba90f3fcd1238a50c774e9680a81ffbb5ca8242a06306fbfc7aade9e8fc9e4	60
eros_parent_on_open_substitution	soma/life/examples/eros_parent_on_open_substitution.rs	41dadaf17025504e5702d1a8810275e3a4a495a77092c1d5b226ce32a9da7d5d	60
eros_pretrained_ecology_cultivation	soma/life/examples/eros_pretrained_ecology_cultivation.rs	25ba287a69d8f6bd6de8f3aaf677cd2a83b3917b2d5266b6ddcd6ed5973e7469	60
eros_receiver_relative_field	soma/life/examples/eros_receiver_relative_field.rs	9fa9fdf840d4dc2008e4fc83be4c45798ae84831d777c4d051ea867514a00361	60
eros_residual_chart_cultivation	soma/life/examples/eros_residual_chart_cultivation.rs	cd9c07bca27d4e822e4e02dd6ad8773a0b0684bf67da11c4ab3b54ae5ed81677	60
eros_resonant_corpus_current	soma/life/examples/eros_resonant_corpus_current.rs	24a41f44b3d824de7dd0b3cca8a96444d91b8a7112347d6909c7bdbbbd3841a4	60
eros_resonant_generation	soma/life/examples/eros_resonant_generation.rs	70eda92796ea91996fc64f6229697fe6848189dc0c4c2d13210730b5e85a5c9f	60
eros_retriangulating_branch_transport	soma/life/examples/eros_retriangulating_branch_transport.rs	022dbaaf2f6e10920fbeaa2a32465a87271d1f60cb52019bd7ef0227e7c6af62	60
eros_text_training	soma/life/examples/eros_text_training.rs	855e036547279f75be3afb11cdc4c1846f1c5d55492faf368bc9718e4df67ed7	60
eros_transformer_contextual_hexis	soma/life/examples/eros_transformer_contextual_hexis.rs	e79d07d32365842b2ab5a6da02a190a3174c431844cbeaeee4f68948b186efda	60
eros_transformer_translation_atlas	soma/life/examples/eros_transformer_translation_atlas.rs	38f1ea4d4e9783a6b3beb199bf688c8d8babedc6f2454c1b819153c4699dff7b	60
holonic-eta-ratio-atlas	crates/relational-geometry/examples/holonic_eta_ratio_atlas.rs	4514c77237051eb307d17cb37d6d6a86aadf9d3925157cfe29bdeff94e07a2a3	11
lean-kernel-witness	ORPHAN	-	0
lean-plural-route-control	ORPHAN	-	0
lean-proof-production	ORPHAN	-	0
mms-reconnection	ORPHAN	-	0
reintegrating-elaboration	ORPHAN	-	0
source-revival	ORPHAN	-	0
the-reading-returns	crates/holonic-engine/examples/the_reading_returns.rs	5e5125c9f27b2e22cd692910df0c31fe43371791040777586bd839ed35481d01	119
zzy-kernel-teeth-probe	ORPHAN	-	0
zzz-adversarial-probe	ORPHAN	-	0
