kind	head	detail	form	witness
symmetry	angle	degree 2 order 2 abelian true	[2 1]	
symmetry	perpBisector	degree 2 order 2 abelian true	[2 1]	
symmetry	riemannianEDist	degree 3 order 2 abelian true	[1 3 2]	
symmetry	s.mongePlane	degree 2 order 2 abelian true	[2 1]	
transport	.ofDiameter	symmetry 0 substitution 0 arity 0	.ofDiameter x0 x1 = s 	
transport	C.comap	symmetry 0 substitution 0 arity 0	C.comap x0 = C 	
transport	C.copy	symmetry 0 substitution 0 arity 0	C.copy x0 x1 = C 	
transport	C.map	symmetry 0 substitution 0 arity 0	C.map x0 = C 	
transport	C.toPointedCone	symmetry 0 substitution 0 arity 0	C.toPointedCone x0 = C 	
transport	CategoryStruct.comp	symmetry 0 substitution 0 arity 0	CategoryStruct.comp x0 x1 x2 x3 = colimit.ι x4 x5	
transport	Complex.orientation.oangle	symmetry 0 substitution 0 arity 0	Complex.orientation.oangle x0 x1 = Complex.arg x2	
transport	C₁	symmetry 0 substitution 0 arity 0	C₁  = C₂ 	
transport	DFunLike.coe	symmetry 0 substitution 0 arity 0	DFunLike.coe x0 x1 = f 	
transport	Equiv.pointReflection	symmetry 0 substitution 0 arity 0	Equiv.pointReflection x0 x1 = p₁ 	
transport	Equiv.pointReflection	symmetry 0 substitution 0 arity 0	Equiv.pointReflection x0 x1 = p₂ 	
transport	Finset.univ.affineCombination	symmetry 0 substitution 0 arity 0	Finset.univ.affineCombination x0 x1 x2 = s.touchpoint x3 x4	
transport	Hom.toHom	symmetry 0 substitution 0 arity 0	Hom.toHom x0 = 𝟙 x1	
transport	Hom.toShHom	symmetry 0 substitution 0 arity 0	Hom.toShHom x0 = InducedCategory.homMk x1	
transport	Hom.toShHom	symmetry 0 substitution 0 arity 0	Hom.toShHom x0 = 𝟙 x1	
transport	I	symmetry 0 substitution 0 arity 0	I x0 = x 	
transport	I.interior	symmetry 0 substitution 0 arity 0	I.interior x0 = univ 	
transport	I.symm	symmetry 0 substitution 0 arity 0	I.symm x0 = x 	
transport	I.target	symmetry 0 substitution 0 arity 0	I.target  = range x0	
transport	LinearEquiv.det	symmetry 0 substitution 0 arity 0	LinearEquiv.det x0 x1 = 1 	
transport	LinearMap.det	symmetry 0 substitution 0 arity 0	LinearMap.det x0 x1 = 1 	
transport	Metric.infDist	symmetry 0 substitution 0 arity 0	Metric.infDist x0 x1 = s.radius 	
transport	Real.Angle.cos	symmetry 0 substitution 0 arity 0	Real.Angle.cos x0 = Real.cos x1	
transport	Real.Angle.tan	symmetry 0 substitution 0 arity 0	Real.Angle.tan x0 = r 	
transport	Real.cos	symmetry 0 substitution 1 arity 0	Real.cos x0 = Real.cos x1	
transport	Real.sin	symmetry 0 substitution 1 arity 0	Real.sin x0 = Real.sin x1	
transport	SignType.sign	symmetry 0 substitution 6 arity 0	SignType.sign x0 = 1 	
transport	SignType.sign	symmetry 0 substitution 6 arity 0	SignType.sign x0 = SignType.sign x1	
transport	Sphere.secondInter	symmetry 0 substitution 0 arity 0	Sphere.secondInter x0 x1 x2 = f x3	
transport	V	symmetry 0 substitution 0 arity 0	V  = ᶠ x0 x1 x2 x3 x4 x5 x6	
transport	X	symmetry 0 substitution 0 arity 0	X  = Y 	
transport	X	symmetry 0 substitution 0 arity 0	X x0 = 0 	
transport	X.basicOpen	symmetry 0 substitution 1 arity 0	X.basicOpen x0 = U 	
transport	X.basicOpen	symmetry 0 substitution 1 arity 0	X.basicOpen x0 = X.basicOpen x1	
transport	X.zeroLocus	symmetry 0 substitution 0 arity 0	X.zeroLocus x0 = Set.univ 	
transport	affineSpan	symmetry 0 substitution 1 arity 0	affineSpan x0 x1 = affineSpan x0 x2	
transport	affineSpan	symmetry 0 substitution 1 arity 0	affineSpan x0 x1 = s.insphere.orthRadius x2	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x0 = 0 	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = Real.arccos x2	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = Real.arcsin x2	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = Real.arctan x2	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = angle x0 x2	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = angle x1 x0	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = angle x2 x1	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = angle x2 x3	
transport	angle	symmetry 1 substitution 12 arity 0	angle x0 x1 = π 	
transport	as	symmetry 0 substitution 0 arity 0	as  = s.orthRadius x0	
transport	chartAt	symmetry 0 substitution 0 arity 0	chartAt x0 x1 = IccLeftChart x2 x3	
transport	chartAt	symmetry 0 substitution 0 arity 0	chartAt x0 x1 = IccRightChart x2 x3	
