kind	head	detail	form	witness
symmetry	associator	degree 3 order 6 abelian false	[1 3 2]	
symmetry	associator	degree 3 order 6 abelian false	[2 1 3]	
symmetry	A	degree 2 order 2 abelian true	[2 1]	
symmetry	B₁.tmul	degree 3 order 2 abelian true	[1 3 2]	
symmetry	B₂.baseChange	degree 3 order 2 abelian true	[1 3 2]	
symmetry	F	degree 4 order 2 abelian true	[2 1 3 4]	
symmetry	G.between	degree 2 order 2 abelian true	[2 1]	
symmetry	G.commonNeighbors	degree 2 order 2 abelian true	[2 1]	
symmetry	G.dist	degree 2 order 2 abelian true	[2 1]	
symmetry	G.edgeDensity	degree 2 order 2 abelian true	[2 1]	
symmetry	G.edist	degree 2 order 2 abelian true	[2 1]	
symmetry	Nonnegg	degree 4 order 2 abelian true	[2 1 4 3]	
symmetry	Sum.dist	degree 2 order 2 abelian true	[2 1]	
symmetry	affineSegment	degree 3 order 2 abelian true	[1 3 2]	
symmetry	angle	degree 2 order 2 abelian true	[2 1]	
symmetry	associatedHom	degree 4 order 2 abelian true	[1 2 4 3]	
symmetry	betaIntegral	degree 2 order 2 abelian true	[2 1]	
symmetry	bitwise	degree 3 order 2 abelian true	[1 3 2]	
symmetry	convexJoin	degree 3 order 2 abelian true	[1 3 2]	
symmetry	covarianceBilin	degree 3 order 2 abelian true	[1 3 2]	
symmetry	covarianceBilinDual	degree 3 order 2 abelian true	[1 3 2]	
symmetry	coxeterWeight	degree 3 order 2 abelian true	[1 3 2]	
symmetry	cross	degree 2 order 2 abelian true	[2 1]	
symmetry	d	degree 2 order 2 abelian true	[2 1]	
symmetry	disjWithin	degree 2 order 2 abelian true	[2 1]	
symmetry	dist	degree 2 order 2 abelian true	[2 1]	
symmetry	edge	degree 2 order 2 abelian true	[2 1]	
symmetry	edgeDensity	degree 3 order 2 abelian true	[1 3 2]	
symmetry	edist	degree 2 order 2 abelian true	[2 1]	
symmetry	fderiv	degree 5 order 2 abelian true	[1 2 3 5 4]	
symmetry	fderivWithin	degree 6 order 2 abelian true	[1 2 3 4 6 5]	
symmetry	firstDiff	degree 2 order 2 abelian true	[2 1]	
symmetry	gcd	degree 2 order 2 abelian true	[2 1]	
symmetry	hammingDist	degree 2 order 2 abelian true	[2 1]	
symmetry	hausdorffDist	degree 2 order 2 abelian true	[2 1]	
symmetry	hausdorffEDist	degree 2 order 2 abelian true	[2 1]	
symmetry	jacobiSum	degree 2 order 2 abelian true	[2 1]	
symmetry	lcm	degree 2 order 2 abelian true	[2 1]	
symmetry	legendreSym	degree 2 order 2 abelian true	[2 1]	
symmetry	levyProkhorovDist	degree 2 order 2 abelian true	[2 1]	
symmetry	levyProkhorovEDist	degree 2 order 2 abelian true	[2 1]	
symmetry	mapAccumr₂	degree 4 order 2 abelian true	[1 3 2 4]	
symmetry	map₂	degree 3 order 2 abelian true	[1 3 2]	
symmetry	midpoint	degree 3 order 2 abelian true	[1 3 2]	
symmetry	min	degree 2 order 2 abelian true	[2 1]	
symmetry	mul	degree 2 order 2 abelian true	[2 1]	
symmetry	nndist	degree 2 order 2 abelian true	[2 1]	
symmetry	openSegment	degree 3 order 2 abelian true	[1 3 2]	
symmetry	ordSeparatingSet	degree 2 order 2 abelian true	[2 1]	
symmetry	ordinaryHypergeometricSeries	degree 4 order 2 abelian true	[1 3 2 4]	
symmetry	perpBisector	degree 2 order 2 abelian true	[2 1]	
symmetry	polar	degree 3 order 2 abelian true	[1 3 2]	
symmetry	qrSign	degree 2 order 2 abelian true	[2 1]	
symmetry	riemannianEDist	degree 3 order 2 abelian true	[1 3 2]	
symmetry	s.mongePlane	degree 2 order 2 abelian true	[2 1]	
symmetry	single	degree 3 order 2 abelian true	[3 2 1]	
symmetry	slope	degree 3 order 2 abelian true	[1 3 2]	
symmetry	swap	degree 2 order 2 abelian true	[2 1]	
symmetry	swap	degree 3 order 2 abelian true	[1 3 2]	
symmetry	swapCore	degree 3 order 2 abelian true	[2 1 3]	
symmetry	traceForm	degree 5 order 2 abelian true	[1 2 3 5 4]	
symmetry	uIoo	degree 2 order 2 abelian true	[2 1]	
symmetry	Ι	degree 2 order 2 abelian true	[2 1]	
symmetry	σ	degree 5 order 2 abelian true	[2 1 3 5 4]	
transport	.comp	symmetry 0 substitution 0 arity 0	.comp x0 x1 = f 	
transport	.generatedBy	symmetry 0 substitution 0 arity 0	.generatedBy x0 = tY 	
transport	.mk	symmetry 0 substitution 0 arity 0	.mk x0 = f x1	
transport	.mk	symmetry 0 substitution 0 arity 0	.mk x0 = f x1 x2	
transport	.mk	symmetry 0 substitution 0 arity 0	.mk x0 = o.toZFSet 	
transport	.ofCoreEq	symmetry 0 substitution 0 arity 0	.ofCoreEq x0 x1 x2 = u 	
transport	.ofDiameter	symmetry 0 substitution 0 arity 0	.ofDiameter x0 x1 = s 	
transport	.ofReal	symmetry 0 substitution 0 arity 0	.ofReal x0 = evariance x1 x2	
transport	.single	symmetry 0 substitution 0 arity 0	.single x0 x1 = C x1	
transport	.trans	symmetry 0 substitution 0 arity 0	.trans x0 x1 = e 	
transport	0	symmetry 0 substitution 0 arity 0	0  = M.mk x0 x1	
transport	0	symmetry 0 substitution 0 arity 0	0  = mk x0 x1	
