kind	head	detail	form	witness
symmetry	Nonnegg	degree 4 order 2 abelian true	[2 1 4 3]	
symmetry	jacobiSum	degree 2 order 2 abelian true	[2 1]	
symmetry	legendreSym	degree 2 order 2 abelian true	[2 1]	
symmetry	qrSign	degree 2 order 2 abelian true	[2 1]	
transport	Algebra.discr	symmetry 0 substitution 0 arity 0	Algebra.discr x0 x1 = discr x2	
transport	Algebra.norm	symmetry 0 substitution 0 arity 0	Algebra.norm x0 x1 = p 	
transport	B.F	symmetry 0 substitution 0 arity 0	B.F x0 = 0 	
transport	B.F	symmetry 0 substitution 0 arity 0	B.F x0 = LSeries x1 x0	
transport	Carmichael	symmetry 0 substitution 0 arity 0	Carmichael x0 = Nat.lcm x1 x2	
transport	Carmichael	symmetry 0 substitution 0 arity 0	Carmichael x0 = exponent x1 x2	
transport	Carmichael	symmetry 0 substitution 0 arity 0	Carmichael x0 = s.lcm x1	
transport	ComplexEmbedding.conjugate	symmetry 0 substitution 0 arity 0	ComplexEmbedding.conjugate x0 = embedding x1	
transport	CyclotomicRing	symmetry 0 substitution 0 arity 0	CyclotomicRing x0 x1 x2 = adjoin x1 x3	
transport	C₁	symmetry 0 substitution 0 arity 0	C₁  = C₂ 	
transport	D2	symmetry 0 substitution 0 arity 0	D2 x0 = 0 	
transport	E	symmetry 0 substitution 0 arity 0	E  = maximalRealSubfield x0	
transport	F.aeval	symmetry 0 substitution 0 arity 0	F.aeval x0 = 0 	
transport	Fintype.card	symmetry 0 substitution 1 arity 0	Fintype.card x0 = Fintype.card x1	
transport	Fintype.card	symmetry 0 substitution 1 arity 0	Fintype.card x0 = finrank x1 x2	
transport	F₁	symmetry 0 substitution 0 arity 0	F₁  = F₂ 	
transport	Ideal.span	symmetry 0 substitution 1 arity 0	Ideal.span x0 = Ideal.span x1	
transport	Ideal.span	symmetry 0 substitution 1 arity 0	Ideal.span x0 = v.asIdeal.map x1	
transport	InfinitePlace.mk	symmetry 0 substitution 0 arity 0	InfinitePlace.mk x0 = v 	
transport	Int.gcd	symmetry 0 substitution 0 arity 0	Int.gcd x0 x1 = 1 	
transport	Int.padicValuation	symmetry 0 substitution 0 arity 0	Int.padicValuation x0 x0 = exp x1	
transport	IsCyclotomicExtension	symmetry 0 substitution 1 arity 0	IsCyclotomicExtension x0 x1 x2 = IsCyclotomicExtension x3 x1 x2	
transport	J	symmetry 0 substitution 6 arity 0	J x0 = 0 	
transport	J	symmetry 0 substitution 6 arity 0	J x0 = 1 	
transport	J	symmetry 0 substitution 6 arity 0	J x0 = J x1	
transport	J	symmetry 0 substitution 6 arity 0	J x0 = χ x1	
transport	J	symmetry 0 substitution 6 arity 0	J x0 = χ₄ x1	
transport	J	symmetry 0 substitution 6 arity 0	J x0 = χ₈ x1	
transport	L	symmetry 0 substitution 0 arity 0	L x0 x1 = riemannZeta x1	
transport	LFunction	symmetry 0 substitution 0 arity 0	LFunction x0 = riemannZeta 	
transport	LFunction	symmetry 0 substitution 0 arity 0	LFunction x0 x1 = 0 	
transport	LFunction	symmetry 0 substitution 0 arity 0	LFunction x0 x1 = LSeries x2 x1	
transport	LFunction	symmetry 0 substitution 0 arity 0	LFunction x0 x1 = expZeta x2 x1	
transport	LSeries	symmetry 0 substitution 1 arity 0	LSeries x0 = 0 	
transport	LSeries	symmetry 0 substitution 1 arity 0	LSeries x0 = 1 	
transport	LSeries	symmetry 0 substitution 1 arity 0	LSeries x0 x1 = LSeries x2 x1	
transport	LSeries	symmetry 0 substitution 1 arity 0	LSeries x0 x1 = a 	
transport	Module.finrank	symmetry 0 substitution 1 arity 0	Module.finrank x0 x1 = Module.finrank x2 x3	
transport	Module.finrank	symmetry 0 substitution 1 arity 0	Module.finrank x0 x1 = k.totient 	
transport	Module.finrank	symmetry 0 substitution 1 arity 0	Module.finrank x0 x1 = rank x2	
transport	Module.rank	symmetry 0 substitution 0 arity 0	Module.rank x0 x1 = 0 	
transport	Module.rank	symmetry 0 substitution 0 arity 0	Module.rank x0 x1 = 1 	
transport	MonoidHom.mker	symmetry 0 substitution 0 arity 0	MonoidHom.mker x0 = unitary x1	
