kind	head	detail	form	witness
symmetry	betaIntegral	degree 2 order 2 abelian true	[2 1]	
symmetry	ordinaryHypergeometricSeries	degree 4 order 2 abelian true	[1 3 2 4]	
transport	CFC.sqrt	symmetry 0 substitution 0 arity 0	CFC.sqrt x0 = cfcₙ x1 x0	
transport	Complex.Gamma	symmetry 0 substitution 0 arity 0	Complex.Gamma x0 = Gamma x1	
transport	Complex.exp	symmetry 0 substitution 0 arity 0	Complex.exp  = NormedSpace.exp 	
transport	Complex.polarCoord.source	symmetry 0 substitution 0 arity 0	Complex.polarCoord.source  = slitPlane 	
transport	Gamma	symmetry 0 substitution 0 arity 0	Gamma x0 = 0 	
transport	Gamma	symmetry 0 substitution 0 arity 0	Gamma x0 = 1 	
transport	Gamma	symmetry 0 substitution 0 arity 0	Gamma x0 = GammaAux x1 x0	
transport	Gamma	symmetry 0 substitution 0 arity 0	Gamma x0 = GammaIntegral x0	
transport	Gamma	symmetry 0 substitution 0 arity 0	Gamma x0 = conj x1	
transport	GammaAux	symmetry 0 substitution 1 arity 0	GammaAux x0 x1 = GammaAux x2 x1	
transport	GammaIntegral	symmetry 0 substitution 0 arity 0	GammaIntegral x0 = 1 	
transport	GammaIntegral	symmetry 0 substitution 0 arity 0	GammaIntegral x0 = conj x1	
transport	Gammaℝ	symmetry 0 substitution 0 arity 0	Gammaℝ x0 = 1 	
transport	L.G	symmetry 0 substitution 0 arity 0	L.G x0 = 0 	
transport	L.basis	symmetry 0 substitution 0 arity 0	L.basis x0 = L.ω₁ 	
transport	L.basis	symmetry 0 substitution 0 arity 0	L.basis x0 = L.ω₂ 	
transport	L.lattice	symmetry 0 substitution 0 arity 0	L.lattice  = Submodule.span x0 x1	
transport	L.latticeBasis	symmetry 0 substitution 0 arity 0	L.latticeBasis x0 = L.ω₁ 	
transport	L.latticeBasis	symmetry 0 substitution 0 arity 0	L.latticeBasis x0 = L.ω₂ 	
transport	L.relation	symmetry 0 substitution 3 arity 0	L.relation  = 0 	
transport	L.relation	symmetry 0 substitution 3 arity 0	L.relation x0 = L.relation x1	
transport	L.sumInvPow	symmetry 0 substitution 0 arity 0	L.sumInvPow x0 = L.G 	
transport	L.weierstrassPExceptSeries	symmetry 0 substitution 0 arity 0	L.weierstrassPExceptSeries x0 = L.weierstrassPSeries 	
transport	L.weierstrassPExceptSummand	symmetry 0 substitution 0 arity 0	L.weierstrassPExceptSummand x0 = L.weierstrassPSummand 	
transport	Real.cos	symmetry 0 substitution 0 arity 0	Real.cos x0 = cos x1	
transport	Real.exp	symmetry 0 substitution 0 arity 0	Real.exp  = NormedSpace.exp 	
transport	Real.log	symmetry 0 substitution 0 arity 0	Real.log x0 = log x0	
transport	Real.log	symmetry 0 substitution 0 arity 0	Real.log x0 x1 = log x2	
transport	Real.sin	symmetry 0 substitution 0 arity 0	Real.sin x0 = sin x1	
transport	Real.tan	symmetry 0 substitution 0 arity 0	Real.tan x0 = tan x1	
transport	Set.range	symmetry 0 substitution 0 arity 0	Set.range x0 = Set.Ioc x1 x2	
transport	Set.range	symmetry 0 substitution 0 arity 0	Set.range x0 = Set.univ 	
transport	SignType.sign	symmetry 0 substitution 0 arity 0	SignType.sign x0 = θ.sign 	
transport	a	symmetry 0 substitution 0 arity 0	a  = b 	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = 0 	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = 1 	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = a 	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = abs x1	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = cfc x1 x0	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = cfcₙ x1 x0	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = n 	
transport	abs	symmetry 0 substitution 3 arity 0	abs x0 = ofNat x1	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = 0 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = arcsin x1	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = arctan x1	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = x 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = y 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = π 	
transport	arcosh	symmetry 0 substitution 0 arity 0	arcosh x0 = 0 	
transport	arcosh	symmetry 0 substitution 0 arity 0	arcosh x0 = x 	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = 0 	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = arccos x1	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = arcsin x1	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = arctan x1	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = x 	
transport	arctan	symmetry 0 substitution 0 arity 0	arctan x0 = 0 	
transport	arctan	symmetry 0 substitution 0 arity 0	arctan x0 = arcsin x1	
