kind	head	detail	form	witness
transport	Real.cos	symmetry 0 substitution 0 arity 0	Real.cos x0 = cos x1	
transport	Real.sin	symmetry 0 substitution 0 arity 0	Real.sin x0 = sin x1	
transport	Real.tan	symmetry 0 substitution 0 arity 0	Real.tan x0 = tan x1	
transport	Set.range	symmetry 0 substitution 0 arity 0	Set.range x0 = Set.univ 	
transport	SignType.sign	symmetry 0 substitution 0 arity 0	SignType.sign x0 = θ.sign 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = 0 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = arcsin x1	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = arctan x1	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = x 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = y 	
transport	arccos	symmetry 0 substitution 0 arity 0	arccos x0 = π 	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = 0 	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = arccos x1	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = arcsin x1	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = arctan x1	
transport	arcsin	symmetry 0 substitution 1 arity 0	arcsin x0 = x 	
transport	arctan	symmetry 0 substitution 0 arity 0	arctan x0 = 0 	
transport	arctan	symmetry 0 substitution 0 arity 0	arctan x0 = arcsin x1	
transport	arctan	symmetry 0 substitution 0 arity 0	arctan x0 = x 	
transport	cos	symmetry 0 substitution 7 arity 0	cos x0 = 0 	
transport	cos	symmetry 0 substitution 7 arity 0	cos x0 = 1 	
transport	cos	symmetry 0 substitution 7 arity 0	cos x0 = Real.cos x1	
transport	cos	symmetry 0 substitution 7 arity 0	cos x0 = cos x1	
transport	cos	symmetry 0 substitution 7 arity 0	cos x0 = sin x1	
transport	cos	symmetry 0 substitution 7 arity 0	cos x0 = x 	
transport	deriv	symmetry 0 substitution 0 arity 0	deriv x0 = cos 	
transport	deriv	symmetry 0 substitution 0 arity 0	deriv x0 = cosh 	
transport	deriv	symmetry 0 substitution 0 arity 0	deriv x0 = sinh 	
transport	exp	symmetry 0 substitution 0 arity 0	exp x0 = 1 	
transport	exp	symmetry 0 substitution 0 arity 0	exp x0 = I 	
transport	iteratedDeriv	symmetry 0 substitution 3 arity 0	iteratedDeriv x0 x1 = cosh 	
transport	iteratedDeriv	symmetry 0 substitution 3 arity 0	iteratedDeriv x0 x1 = iteratedDeriv x2 x3	
transport	iteratedDeriv	symmetry 0 substitution 3 arity 0	iteratedDeriv x0 x1 = sinh 	
transport	iteratedDerivWithin	symmetry 0 substitution 0 arity 0	iteratedDerivWithin x0 x1 x2 x3 = iteratedDeriv x0 x1 x3	
transport	logDeriv	symmetry 0 substitution 0 arity 0	logDeriv x0 = 1 	
transport	logDeriv	symmetry 0 substitution 0 arity 0	logDeriv x0 = Complex.cot 	
transport	logDeriv	symmetry 0 substitution 0 arity 0	logDeriv x0 = Complex.tanh 	
transport	logDeriv	symmetry 0 substitution 0 arity 0	logDeriv x0 = Real.cot 	
transport	logDeriv	symmetry 0 substitution 0 arity 0	logDeriv x0 = Real.tanh 	
transport	logDeriv	symmetry 0 substitution 0 arity 0	logDeriv x0 x1 = cotTerm x1 x2	
transport	node	symmetry 0 substitution 0 arity 0	node x0 x1 = 1 	
transport	range	symmetry 0 substitution 0 arity 0	range x0 = Icc x1 x2	
transport	range	symmetry 0 substitution 0 arity 0	range x0 = Ioo x1 x2	
transport	sin	symmetry 0 substitution 5 arity 0	sin x0 = 0 	
transport	sin	symmetry 0 substitution 5 arity 0	sin x0 = 1 	
transport	sin	symmetry 0 substitution 5 arity 0	sin x0 = Real.sin x1	
transport	sin	symmetry 0 substitution 5 arity 0	sin x0 = cos x1	
transport	sin	symmetry 0 substitution 5 arity 0	sin x0 = sin x1	
transport	sin	symmetry 0 substitution 5 arity 0	sin x0 = x 	
transport	sinc	symmetry 0 substitution 1 arity 0	sinc  = dslope x0 x1	
transport	sinc	symmetry 0 substitution 1 arity 0	sinc x0 = 1 	
transport	sinc	symmetry 0 substitution 1 arity 0	sinc x0 = sinc x1	
transport	sqrtTwoAddSeries	symmetry 0 substitution 0 arity 0	sqrtTwoAddSeries x0 x1 = x 	
transport	sumNodes	symmetry 0 substitution 0 arity 0	sumNodes x0 x1 x2 = P.coeff x0	
transport	tan	symmetry 0 substitution 7 arity 0	tan x0 = 0 	
transport	tan	symmetry 0 substitution 7 arity 0	tan x0 = 1 	
transport	tan	symmetry 0 substitution 7 arity 0	tan x0 = Real.tan x1	
transport	tan	symmetry 0 substitution 7 arity 0	tan x0 = tan x1	
transport	tan	symmetry 0 substitution 7 arity 0	tan x0 = x 	
transport	toIocMod	symmetry 0 substitution 0 arity 0	toIocMod x0 x1 x2 = θ.toReal 	
transport	x	symmetry 0 substitution 0 arity 0	x  = y 	
edge	Real.cos	cos	Real.cos x0 = cos x1	
edge	Real.sin	sin	Real.sin x0 = sin x1	
edge	Real.tan	tan	Real.tan x0 = tan x1	
edge	Set.range	Set.univ	Set.range x0 = Set.univ 	
edge	SignType.sign	θ.sign	SignType.sign x0 = θ.sign 	
edge	arccos	0	arccos x0 = 0 	
edge	arccos	arcsin	arccos x0 = arcsin x1	
edge	arccos	arctan	arccos x0 = arctan x1	
edge	arccos	π	arccos x0 = π 	
edge	arcsin	0	arcsin x0 = 0 	
edge	arcsin	arccos	arcsin x0 = arccos x1	
edge	arcsin	arctan	arcsin x0 = arctan x1	
edge	arctan	0	arctan x0 = 0 	
edge	arctan	arcsin	arctan x0 = arcsin x1	
edge	cos	0	cos x0 = 0 	
edge	cos	1	cos x0 = 1 	
edge	cos	Real.cos	cos x0 = Real.cos x1	
edge	cos	sin	cos x0 = sin x1	
edge	deriv	cos	deriv x0 = cos 	
edge	deriv	cosh	deriv x0 = cosh 	
edge	deriv	sinh	deriv x0 = sinh 	
edge	exp	1	exp x0 = 1 	
edge	exp	I	exp x0 = I 	
edge	iteratedDeriv	cosh	iteratedDeriv x0 x1 = cosh 	
edge	iteratedDeriv	sinh	iteratedDeriv x0 x1 = sinh 	
edge	iteratedDerivWithin	iteratedDeriv	iteratedDerivWithin x0 x1 x2 x3 = iteratedDeriv x0 x1 x3	
edge	logDeriv	1	logDeriv x0 = 1 	
edge	logDeriv	Complex.cot	logDeriv x0 = Complex.cot 	
edge	logDeriv	Complex.tanh	logDeriv x0 = Complex.tanh 	
edge	logDeriv	Real.cot	logDeriv x0 = Real.cot 	
edge	logDeriv	Real.tanh	logDeriv x0 = Real.tanh 	
edge	logDeriv	cotTerm	logDeriv x0 x1 = cotTerm x1 x2	
edge	node	1	node x0 x1 = 1 	
edge	range	Icc	range x0 = Icc x1 x2	
edge	range	Ioo	range x0 = Ioo x1 x2	
edge	sin	0	sin x0 = 0 	
edge	sin	1	sin x0 = 1 	
edge	sin	Real.sin	sin x0 = Real.sin x1	
edge	sin	cos	sin x0 = cos x1	
edge	sinc	1	sinc x0 = 1 	
edge	sinc	dslope	sinc  = dslope x0 x1	
edge	sumNodes	P.coeff	sumNodes x0 x1 x2 = P.coeff x0	
edge	tan	0	tan x0 = 0 	
edge	tan	1	tan x0 = 1 	
edge	tan	Real.tan	tan x0 = Real.tan x1	
edge	toIocMod	θ.toReal	toIocMod x0 x1 x2 = θ.toReal 	
identity	Real.cos		Real.cos x0 = cos x1	(θ : Angle) : Real.cos θ.toReal = cos θ
identity	Real.sin		Real.sin x0 = sin x1	(θ : Angle) : Real.sin θ.toReal = sin θ
identity	Real.tan		Real.tan x0 = tan x1	(θ : Angle) : Real.tan θ.toReal = tan θ
identity	Set.range		Set.range x0 = Set.univ 	: Set.range cos = Set.univ
identity	Set.range		Set.range x0 = Set.univ 	: Set.range sin = Set.univ
identity	SignType.sign		SignType.sign x0 = θ.sign 	{θ : Angle} (h : θ ≠ π) : SignType.sign θ.toReal = θ.sign
identity	arccos		arccos x0 = 0 	: arccos 1 = 0
identity	arccos		arccos x0 = 0 	{x : ℝ} (hx : 1 ≤ x) : arccos x = 0
identity	arccos		arccos x0 = arcsin x1	{x : ℝ} (h : 0 ≤ x) : arccos x = arcsin (√(1 - x ^ 2))
identity	arccos		arccos x0 = arctan x1	(h : 0 < x) : arccos x = arctan (√(1 - x ^ 2) / x)
identity	arccos		arccos x0 = x 	{x : ℝ} (hx₁ : 0 ≤ x) (hx₂ : x ≤ π) : arccos (cos x) = x
identity	arccos		arccos x0 = y 	(hy₀ : 0 ≤ y) (hy₁ : y ≤ π) (hxy : x = cos y) : arccos x = y
identity	arccos		arccos x0 = π 	: arccos (-1) = π
identity	arccos		arccos x0 = π 	{x : ℝ} (hx : x ≤ -1) : arccos x = π
identity	arcsin		arcsin x0 = 0 	: arcsin 0 = 0
identity	arcsin		arcsin x0 = arccos x1	{x : ℝ} (h : 0 ≤ x) : arcsin x = arccos (√(1 - x ^ 2))
identity	arcsin		arcsin x0 = arcsin x1	(x : ℝ) : arcsin (projIcc (-1) 1 (neg_le_self zero_le_one) x) = arcsin x
identity	arcsin		arcsin x0 = arctan x1	(h : x ∈ Ioo (-(1 : ℝ)) 1) : arcsin x = arctan (x / √(1 - x ^ 2))
identity	arcsin		arcsin x0 = x 	{x : ℝ} (hx : x ∈ Icc (-(π / 2)) (π / 2)) : arcsin (sin x) = x
identity	arcsin		arcsin x0 = x 	{x y : ℝ} (h₁ : sin x = y) (h₂ : x ∈ Icc (-(π / 2)) (π / 2)) : arcsin y = x
identity	arctan		arctan x0 = 0 	: arctan 0 = 0
identity	arctan		arctan x0 = arcsin x1	(x : ℝ) : arctan x = arcsin (x / √(1 + x ^ 2))
identity	arctan		arctan x0 = x 	(hx₁ : -(π / 2) < x) (hx₂ : x < π / 2) : arctan (tan x) = x
identity	arctan		arctan x0 = x 	(h : tan x = y) (hx : x ∈ Ioo (-(π / 2)) (π / 2)) : arctan y = x
identity	cos		cos x0 = 0 	: cos (π / 2) = 0
identity	cos		cos x0 = 1 	: cos (0 : Angle) = 1
identity	cos		cos x0 = 1 	: cos (2 * π) = 1
identity	cos		cos x0 = 1 	(n : ℕ) : cos (n * (2 * π)) = 1
identity	cos		cos x0 = Real.cos x1	(x : ℝ) : cos (x : Angle) = Real.cos x
identity	cos		cos x0 = cos x1	(θ : Angle) : cos (-θ) = cos θ
identity	cos		cos x0 = cos x1	(x : ℂ) : cos (2 * π - x) = cos x
identity	cos		cos x0 = cos x1	(x : ℂ) (n : ℕ) : cos (n * (2 * π) - x) = cos x
identity	cos		cos x0 = cos x1	(x : ℂ) : cos (x + 2 * π) = cos x
identity	cos		cos x0 = cos x1	(x : ℂ) (n : ℕ) : cos (x + n * (2 * π)) = cos x
identity	cos		cos x0 = cos x1	(x : ℂ) : cos (x - 2 * π) = cos x
identity	cos		cos x0 = cos x1	(x : ℂ) (n : ℕ) : cos (x - n * (2 * π)) = cos x
identity	cos		cos x0 = sin x1	(x : ℂ) : cos (x - π / 2) = sin x
identity	cos		cos x0 = sin x1	(θ : Angle) : cos (θ - ↑(π / 2)) = sin θ
identity	cos		cos x0 = sin x1	(x : ℂ) : cos (π / 2 - x) = sin x
