species	head	statement	verdict	organ
group-implied	associator	associator x0 x1 x2 = associator x1 x2 x0	admitted	symmetric-pair-sum-3
group-implied	associator	associator x0 x1 x2 = associator x2 x0 x1	admitted	symmetric-pair-sum-3
group-implied	associator	associator x0 x1 x2 = associator x2 x1 x0	admitted	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₁.tmul	B₁.tmul x0 x1 x2 = B₁.tmul x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₁.tmul	B₁.tmul x0 x1 x2 = B₁.tmul x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₁.tmul	B₁.tmul x0 x1 x2 = B₁.tmul x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₁.tmul	B₁.tmul x0 x1 x2 = B₁.tmul x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₂.baseChange	B₂.baseChange x0 x1 x2 = B₂.baseChange x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₂.baseChange	B₂.baseChange x0 x1 x2 = B₂.baseChange x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₂.baseChange	B₂.baseChange x0 x1 x2 = B₂.baseChange x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	B₂.baseChange	B₂.baseChange x0 x1 x2 = B₂.baseChange x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:paired-separation-4	F	F x0 x1 x2 x3 = F x0 x1 x3 x2	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x0 x2 x1 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x0 x2 x3 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x0 x3 x1 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x0 x3 x2 x1	conflicted	paired-separation-4
organ-predicted:paired-separation-4	F	F x0 x1 x2 x3 = F x1 x0 x3 x2	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x1 x2 x0 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x1 x2 x3 x0	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x1 x3 x0 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x1 x3 x2 x0	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x2 x0 x1 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x2 x0 x3 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x2 x1 x0 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x2 x1 x3 x0	conflicted	paired-separation-4
organ-predicted:paired-separation-4	F	F x0 x1 x2 x3 = F x2 x3 x0 x1	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:paired-separation-4	F	F x0 x1 x2 x3 = F x2 x3 x1 x0	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x3 x0 x1 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x3 x0 x2 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x3 x1 x0 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	F	F x0 x1 x2 x3 = F x3 x1 x2 x0	conflicted	paired-separation-4
organ-predicted:paired-separation-4	F	F x0 x1 x2 x3 = F x3 x2 x0 x1	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:paired-separation-4	F	F x0 x1 x2 x3 = F x3 x2 x1 x0	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:paired-separation-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x0 x1 x3 x2	conflicted	cross-ratio
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x0 x2 x1 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x0 x2 x3 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x0 x3 x1 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x0 x3 x2 x1	conflicted	paired-separation-4
organ-predicted:paired-separation-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x1 x0 x2 x3	conflicted	cross-ratio
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x1 x2 x0 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x1 x2 x3 x0	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x1 x3 x0 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x1 x3 x2 x0	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x2 x0 x1 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x2 x0 x3 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x2 x1 x0 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x2 x1 x3 x0	conflicted	paired-separation-4
organ-predicted:cross-ratio	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x2 x3 x0 x1	admitted	symmetric-pair-sum-4;paired-separation-4;cross-ratio
organ-predicted:paired-separation-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x2 x3 x1 x0	conflicted	cross-ratio
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x3 x0 x1 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x3 x0 x2 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x3 x1 x0 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x3 x1 x2 x0	conflicted	paired-separation-4
organ-predicted:paired-separation-4	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x3 x2 x0 x1	conflicted	cross-ratio
organ-predicted:cross-ratio	Nonnegg	Nonnegg x0 x1 x2 x3 = Nonnegg x3 x2 x1 x0	admitted	symmetric-pair-sum-4;paired-separation-4;cross-ratio
organ-predicted:symmetric-pair-sum-3	affineSegment	affineSegment x0 x1 x2 = affineSegment x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	affineSegment	affineSegment x0 x1 x2 = affineSegment x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	affineSegment	affineSegment x0 x1 x2 = affineSegment x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	affineSegment	affineSegment x0 x1 x2 = affineSegment x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x0 x2 x1 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x0 x2 x3 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x0 x3 x1 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x0 x3 x2 x1	conflicted	paired-separation-4
organ-predicted:paired-separation-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x1 x0 x2 x3	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:paired-separation-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x1 x0 x3 x2	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x1 x2 x0 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x1 x2 x3 x0	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x1 x3 x0 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x1 x3 x2 x0	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x2 x0 x1 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x2 x0 x3 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x2 x1 x0 x3	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x2 x1 x3 x0	conflicted	paired-separation-4
organ-predicted:paired-separation-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x2 x3 x0 x1	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:paired-separation-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x2 x3 x1 x0	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x3 x0 x1 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x3 x0 x2 x1	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x3 x1 x0 x2	conflicted	paired-separation-4
organ-predicted:symmetric-pair-sum-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x3 x1 x2 x0	conflicted	paired-separation-4
organ-predicted:paired-separation-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x3 x2 x0 x1	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:paired-separation-4	associatedHom	associatedHom x0 x1 x2 x3 = associatedHom x3 x2 x1 x0	admitted	symmetric-pair-sum-4;paired-separation-4
organ-predicted:symmetric-pair-sum-3	bitwise	bitwise x0 x1 x2 = bitwise x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	bitwise	bitwise x0 x1 x2 = bitwise x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	bitwise	bitwise x0 x1 x2 = bitwise x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	bitwise	bitwise x0 x1 x2 = bitwise x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	convexJoin	convexJoin x0 x1 x2 = convexJoin x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	convexJoin	convexJoin x0 x1 x2 = convexJoin x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	convexJoin	convexJoin x0 x1 x2 = convexJoin x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	convexJoin	convexJoin x0 x1 x2 = convexJoin x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilin	covarianceBilin x0 x1 x2 = covarianceBilin x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilin	covarianceBilin x0 x1 x2 = covarianceBilin x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilin	covarianceBilin x0 x1 x2 = covarianceBilin x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilin	covarianceBilin x0 x1 x2 = covarianceBilin x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	covarianceBilinDual	covarianceBilinDual x0 x1 x2 = covarianceBilinDual x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	coxeterWeight	coxeterWeight x0 x1 x2 = coxeterWeight x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	edgeDensity	edgeDensity x0 x1 x2 = edgeDensity x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x1 x3 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x2 x3 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x3 x1 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x0 x3 x2 x1	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x0 x2 x3	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x0 x3 x2	conflicted	hypergeometric-partial-sum
organ-predicted:symmetric-pair-sum-4	mapAccumr₂	mapAccumr₂ x0 x1 x2 x3 = mapAccumr₂ x1 x2 x0 x3	conflicted	hypergeometric-partial-sum
