id	file	grade	cited_from_rust	depends
H.0120	algebra-combinatorics.typ	definition	0	H.0020
H.0121	algebra-combinatorics.typ	proved-standard	0	H.0120
H.0122	algebra-combinatorics.typ	proved-standard	0	H.0120
H.0123	algebra-combinatorics.typ	proved-standard	0	H.0016;H.0122
H.0124	algebra-combinatorics.typ	proved-standard	0	H.0123
H.0125	algebra-combinatorics.typ	proved-standard	0	H.0029;H.0122
H.0126	algebra-combinatorics.typ	proved-standard	0	H.0122
H.0127	algebra-combinatorics.typ	proved-standard	1	H.0126
H.0128	algebra-combinatorics.typ	proved-standard	0	H.0120;H.0123
H.0129	algebra-combinatorics.typ	proved-standard	0	H.0128
H.0130	algebra-combinatorics.typ	proved-standard	0	H.0128
H.0131	algebra-combinatorics.typ	proved-standard	0	H.0121;H.0130
H.0132	algebra-combinatorics.typ	proved-standard	0	H.0121;H.0122
H.0133	algebra-combinatorics.typ	proved-standard	0	H.0132;H.0124
H.0140	algebra-combinatorics.typ	definition	0	H.0010
H.0141	algebra-combinatorics.typ	proved-standard	0	H.0140
H.0142	algebra-combinatorics.typ	proved-standard	0	H.0140;H.0120
H.0143	algebra-combinatorics.typ	proved-standard	0	H.0109;H.0120
H.0144	algebra-combinatorics.typ	proved-standard	0	H.0122;H.0126
H.0145	algebra-combinatorics.typ	proved-standard	0	H.0140;H.0144
H.0146	algebra-combinatorics.typ	definition	0	H.0140
H.0147	algebra-combinatorics.typ	proved-standard	0	H.0142
H.0148	algebra-combinatorics.typ	proved-standard	0	H.0122;H.0143
H.0150	algebra-combinatorics.typ	proved-standard	1	H.0120;H.0126
H.0477	algebra-combinatorics.typ	proved-standard	0	H.0476
H.0479	algebra-combinatorics.typ	proved-standard	0	H.0150;H.0476
H.0320	algebraic-geometry.typ	proved-standard	0	H.0128;H.0220
H.0321	algebraic-geometry.typ	proved-standard	0	H.0120;H.0320
H.0322	algebraic-geometry.typ	proved-standard	0	H.0030;H.0321
H.0323	algebraic-geometry.typ	proved-standard	0	H.0025;H.0125;H.0321
H.0324	algebraic-geometry.typ	proved-standard	0	H.0273;H.0320
H.0325	algebraic-geometry.typ	proved-standard	0	H.0130;H.0320
H.0326	algebraic-geometry.typ	proved-standard	0	H.0122;H.0325
H.0327	algebraic-geometry.typ	proved-standard	0	H.0130;H.0322;H.0325
H.0328	algebraic-geometry.typ	proved-standard	0	H.0130;H.0321
H.0329	algebraic-geometry.typ	definition	0	H.0018;H.0323;H.0326
