path	lines	public_items	kernels
crates/holonic-architecture-lint/src/lib.rs	1277	9	0
crates/holonic-architecture-lint/src/main.rs	96	0	0
crates/holonic-engine/kernels/exact_conic_support.cu	848	0	8
crates/holonic-engine/kernels/exact_embedding_fiber.cu	322	0	7
crates/holonic-engine/kernels/exact_relation_support.cu	472	0	8
crates/holonic-engine/kernels/exact_resident_section.cu	2000	0	27
crates/holonic-engine/kernels/refine_shell.cu	1785	0	26
crates/holonic-engine/src/algebraic.rs	2554	126	0
crates/holonic-engine/src/analytic_field.rs	3100	69	0
crates/holonic-engine/src/approach_front.rs	484	14	0
crates/holonic-engine/src/arithmetic_dimensional.rs	1275	21	0
crates/holonic-engine/src/arithmetic_fiber.rs	2487	69	0
crates/holonic-engine/src/arithmetic_monodromy.rs	2327	54	0
crates/holonic-engine/src/arithmetic_phase.rs	404	19	0
crates/holonic-engine/src/athena.rs	529	17	0
crates/holonic-engine/src/atlas.rs	422	17	0
crates/holonic-engine/src/atmospheric_inverse.rs	1622	44	0
crates/holonic-engine/src/basin.rs	431	16	0
crates/holonic-engine/src/bit_causal.rs	1826	62	0
crates/holonic-engine/src/category.rs	207	13	0
crates/holonic-engine/src/causal.rs	174	7	0
crates/holonic-engine/src/causal_body.rs	2115	39	0
crates/holonic-engine/src/causal_reflection.rs	2122	60	0
crates/holonic-engine/src/causal_state_grammar.rs	2351	65	0
crates/holonic-engine/src/causal_traversal.rs	1532	30	0
crates/holonic-engine/src/certified_face.rs	899	14	0
crates/holonic-engine/src/clifford.rs	1042	44	0
crates/holonic-engine/src/codec_recovery.rs	2808	44	0
crates/holonic-engine/src/codec_system.rs	2376	31	0
crates/holonic-engine/src/collocation.rs	1402	52	0
crates/holonic-engine/src/communication.rs	409	9	0
crates/holonic-engine/src/complex_system.rs	1657	9	0
crates/holonic-engine/src/conditioned_derivation.rs	3310	96	0
crates/holonic-engine/src/conic.rs	527	20	0
crates/holonic-engine/src/contact_gluing.rs	2733	50	0
crates/holonic-engine/src/corpus_census.rs	1372	55	0
crates/holonic-engine/src/coupled_informant.rs	1701	36	0
crates/holonic-engine/src/cross_chart.rs	1229	36	0
crates/holonic-engine/src/cuda_aperture.rs	2429	41	0
crates/holonic-engine/src/cuda_refine.rs	6522	73	0
crates/holonic-engine/src/cuda_relation.rs	1564	18	0
crates/holonic-engine/src/cultivated_rest/directory.rs	352	13	0
crates/holonic-engine/src/cultivated_rest/mod.rs	76	0	0
crates/holonic-engine/src/cultivated_rest/native_morphology.rs	417	7	0
crates/holonic-engine/src/cultivated_rest/schema.rs	555	38	0
crates/holonic-engine/src/cultivated_rest/tests.rs	403	0	0
crates/holonic-engine/src/cultivated_rest/wire.rs	606	33	0
crates/holonic-engine/src/cultivation_derivation.rs	719	20	0
crates/holonic-engine/src/curvature_bridge.rs	2655	30	0
crates/holonic-engine/src/derivation_atlas.rs	2746	69	0
crates/holonic-engine/src/derivation_capacitance.rs	2401	47	0
crates/holonic-engine/src/derivation_codec_intake.rs	1869	21	0
crates/holonic-engine/src/derivation_curvature.rs	2452	70	0
crates/holonic-engine/src/derivation_integral.rs	1799	68	0
crates/holonic-engine/src/derivation_skein.rs	1812	36	0
crates/holonic-engine/src/derivation_two_cells.rs	2284	68	0
crates/holonic-engine/src/derived_factor_cover.rs	819	17	0
crates/holonic-engine/src/derived_factor_cover/tests.rs	163	0	0
crates/holonic-engine/src/device.rs	166	8	0
crates/holonic-engine/src/diffusion.rs	1045	22	0
crates/holonic-engine/src/dilation.rs	651	12	0
crates/holonic-engine/src/dimensional_receiver.rs	1828	50	0
crates/holonic-engine/src/dimensional_wave.rs	1963	63	0
crates/holonic-engine/src/discrete_curvature.rs	1916	40	0
crates/holonic-engine/src/display.rs	133	6	0
crates/holonic-engine/src/divisor_reconstruction.rs	2030	48	0
crates/holonic-engine/src/elementary_chart.rs	772	15	0
crates/holonic-engine/src/embedding_fiber.rs	2290	40	0
crates/holonic-engine/src/evolution.rs	293	12	0
crates/holonic-engine/src/exact_contact.rs	485	19	0
crates/holonic-engine/src/exact_json.rs	337	8	0
crates/holonic-engine/src/exact_linear.rs	1054	40	0
crates/holonic-engine/src/exact_owner_testimony.rs	581	27	0
crates/holonic-engine/src/exact_owner_testimony/population.rs	186	4	0
crates/holonic-engine/src/exact_owner_testimony/tests.rs	396	0	0
crates/holonic-engine/src/exact_owner_testimony/tests/population.rs	268	0	0
crates/holonic-engine/src/exact_owner_testimony/typing.rs	149	13	0
crates/holonic-engine/src/exact_value.rs	2266	73	0
crates/holonic-engine/src/exact_work.rs	619	25	0
crates/holonic-engine/src/executor.rs	298	10	0
crates/holonic-engine/src/exponentiated_ratio.rs	633	12	0
crates/holonic-engine/src/field_atlas.rs	2910	76	0
crates/holonic-engine/src/foreign_codec_rest/mod.rs	15	0	0
crates/holonic-engine/src/foreign_codec_rest/schema.rs	259	12	0
crates/holonic-engine/src/foreign_codec_rest/validation.rs	118	2	0
crates/holonic-engine/src/foreign_codec_rest/wire.rs	732	23	0
crates/holonic-engine/src/foreign_codec_rest_tests.rs	324	0	0
crates/holonic-engine/src/foreign_map.rs	1655	57	0
crates/holonic-engine/src/founded_receiver.rs	1543	27	0
crates/holonic-engine/src/front_passage.rs	5494	92	0
crates/holonic-engine/src/generative_transport.rs	1758	44	0
crates/holonic-engine/src/generator_native_rest.rs	264	10	0
crates/holonic-engine/src/gluing.rs	739	9	0
crates/holonic-engine/src/graded_complex_form.rs	1042	5	0
crates/holonic-engine/src/graph_receiver.rs	2547	54	0
crates/holonic-engine/src/grown_cell.rs	2720	60	0
crates/holonic-engine/src/hardware_cover.rs	1346	39	0
crates/holonic-engine/src/hermite_reduction.rs	751	16	0
crates/holonic-engine/src/holonic_complex.rs	1298	22	0
crates/holonic-engine/src/hypergeometric_closure.rs	831	22	0
crates/holonic-engine/src/image.rs	120	11	0
crates/holonic-engine/src/implicit.rs	990	32	0
crates/holonic-engine/src/inertia.rs	1916	42	0
crates/holonic-engine/src/interaction.rs	93	10	0
crates/holonic-engine/src/interchange.rs	2143	42	0
crates/holonic-engine/src/inverse_transport.rs	1729	51	0
crates/holonic-engine/src/kelvin.rs	644	11	0
crates/holonic-engine/src/landauer.rs	284	8	0
crates/holonic-engine/src/lattice_gauge.rs	1695	49	0
crates/holonic-engine/src/leader_quadrature.rs	2445	55	0
crates/holonic-engine/src/lean_development.rs	2400	37	0
crates/holonic-engine/src/lib.rs	502	165	0
crates/holonic-engine/src/live_presentation.rs	281	14	0
crates/holonic-engine/src/local_star.rs	3936	68	0
crates/holonic-engine/src/matroid_chow.rs	2754	77	0
crates/holonic-engine/src/mode.rs	334	19	0
crates/holonic-engine/src/model_surface.rs	887	26	0
crates/holonic-engine/src/move_species.rs	897	50	0
crates/holonic-engine/src/move_species/tests.rs	417	0	0
crates/holonic-engine/src/multiquadratic.rs	741	21	0
crates/holonic-engine/src/name_elaboration.rs	2087	85	0
crates/holonic-engine/src/native_anatomical_potential.rs	349	17	0
crates/holonic-engine/src/native_anatomy.rs	207	8	0
crates/holonic-engine/src/native_ecology/boundary_cultivation.rs	743	23	0
crates/holonic-engine/src/native_ecology/continuation.rs	1106	30	0
crates/holonic-engine/src/native_ecology/cultivation_overlay.rs	829	26	0
crates/holonic-engine/src/native_ecology/cultivation_overlay_tests.rs	230	0	0
crates/holonic-engine/src/native_ecology/factor_complex.rs	973	26	0
crates/holonic-engine/src/native_ecology/heterogeneous_fusion.rs	651	25	0
crates/holonic-engine/src/native_ecology/inference_ecology.rs	560	14	0
crates/holonic-engine/src/native_ecology/inference_membrane.rs	685	20	0
crates/holonic-engine/src/native_ecology/mod.rs	15	10	0
crates/holonic-engine/src/native_ecology/recurrent.rs	690	21	0
crates/holonic-engine/src/native_ecology/recurrent_condensation.rs	631	22	0
crates/holonic-engine/src/native_ecology/recurrent_return.rs	785	18	0
crates/holonic-engine/src/native_law.rs	568	6	0
crates/holonic-engine/src/native_occurrence.rs	385	5	0
crates/holonic-engine/src/native_rest/manifest.rs	646	35	0
crates/holonic-engine/src/native_rest/mod.rs	30	3	0
crates/holonic-engine/src/native_rest/mounted.rs	766	24	0
crates/holonic-engine/src/native_rest/seal_stream.rs	361	3	0
crates/holonic-engine/src/native_rest/tests.rs	677	3	0
crates/holonic-engine/src/native_rest/types.rs	367	15	0
crates/holonic-engine/src/native_spool.rs	2154	60	0
crates/holonic-engine/src/observation_ecology.rs	4466	50	0
crates/holonic-engine/src/operation_correspondence/errors.rs	111	2	0
crates/holonic-engine/src/operation_correspondence/mod.rs	15	0	0
crates/holonic-engine/src/operation_correspondence/schema.rs	317	18	0
crates/holonic-engine/src/operation_correspondence/tests.rs	382	0	0
crates/holonic-engine/src/operation_correspondence/validation.rs	344	6	0
crates/holonic-engine/src/organizational_grammar.rs	2187	61	0
crates/holonic-engine/src/parameter.rs	244	19	0
crates/holonic-engine/src/parcel.rs	1306	56	0
crates/holonic-engine/src/phase_current.rs	850	18	0
crates/holonic-engine/src/physical.rs	816	33	0
crates/holonic-engine/src/physical_constraint_complex.rs	598	33	0
crates/holonic-engine/src/physical_constraint_complex/tests.rs	225	0	0
crates/holonic-engine/src/placement.rs	346	8	0
crates/holonic-engine/src/platform.rs	295	8	0
crates/holonic-engine/src/platform_x11.rs	384	3	0
crates/holonic-engine/src/ported_operation.rs	1503	59	0
crates/holonic-engine/src/ported_reference.rs	1372	14	0
crates/holonic-engine/src/presentation.rs	2470	54	0
crates/holonic-engine/src/presentation_gauge.rs	828	12	0
crates/holonic-engine/src/prime_ecology.rs	3842	71	0
crates/holonic-engine/src/quantity.rs	1889	69	0
