# Closure addresses of the returns under `output/`.
# One row per driver. `closure` is taken over the driver source, every source file of the
# crate it lives in, and that crate's manifest — so it moves if anything that could change
# what the driver returns moves. `CLAUDE.md` §0 lesson 1's second half.
# `producer` is `ORPHAN` when no driver in the tree bears the directory's name: that is a
# return the tree cannot reproduce, and it is reported rather than skipped.
driver	producer	closure	sources
agentic-research-kernel	ORPHAN	-	0
analytic-field-transport	crates/holonic-engine/examples/analytic_field_transport.rs	36cccd428dd652a8bd383786dae811b61179c3eccdb545c860d5f38bce212ee6	215
arithmetic-dimensional-receiver	crates/holonic-engine/examples/arithmetic_dimensional_receiver.rs	daf4b3af0cc54831fdfe30bce45754d3db68806bc8c4879d523275d2b9689404	215
athena-000	ORPHAN	-	0
athena-001	ORPHAN	-	0
athena-002	ORPHAN	-	0
complex-s6-torus-transport	crates/holonic-engine/examples/complex_six_sphere_torus_transport.rs	51afd8f2029b47756ebcaf75167098c703b85deb855f28639ddc1928311e8317	215
eros-language-rest	ORPHAN	-	0
eros_cohered_corpus	soma/life/examples/eros_cohered_corpus.rs	d840e742464806ab7990d32030f7724a21b56e853a5d0554664f21f08bb2b164	180
eros_contextual_retriangulation	soma/life/examples/eros_contextual_retriangulation.rs	ea5f375078e2e1fe402d979353f2b70d531b70d292acdadc75e0923b137b13ff	180
eros_euclidean_worldline	soma/life/examples/eros_euclidean_worldline.rs	b69a139bb1aec082e5e916eb96d1bd22fd1ea34d53e2c7c0435610e5cb1d4045	180
eros_exact_algorithm_ecology	soma/life/examples/eros_exact_algorithm_ecology.rs	6a89d0060cfda1badd05c8391d1e92672887b2e57796e6cff4ec6e60f5ae1cd4	181
eros_exact_growing_calculator	soma/life/examples/eros_exact_growing_calculator.rs	247a183f6d821f71d76cbd28616ba857f0faa0f7ca5ee21d20ecf7e08c57078a	180
eros_formula_ecology	soma/life/examples/eros_formula_ecology.rs	8b059f4daf1de38b3d0a219362f2caccc96d34f99d4e352934f53cc0b1949dbb	180
eros_holonic_training_ecology	soma/life/examples/eros_holonic_training_ecology.rs	636a4f9aa8aeac740352ea6a079452ca5b086b1588a786e794e4a6412b73b934	180
eros_inherited_law_ecology	soma/life/examples/eros_inherited_law_ecology.rs	bdf1ce2a61f8395bb3a7ae644830f70d55c247427a3af8f4229433f56e316a14	180
eros_mathematics_instance_rest	soma/life/examples/eros_mathematics_instance_rest.rs	f02f5972d3cfd27cd1535adac165e334e4f7b545926644893a230748c266b459	180
eros_morphological_language_generation	soma/life/examples/eros_morphological_language_generation.rs	0c3f5c7aceb02bac623ae19dd66acc014d89468c40389fe36311484bf493b827	180
eros_parent_on_open_substitution	soma/life/examples/eros_parent_on_open_substitution.rs	8acabf970d13a8b4bb052f26bbb2e20ceeece471150454f89c5cbe093c381a4f	180
eros_pretrained_ecology_cultivation	soma/life/examples/eros_pretrained_ecology_cultivation.rs	96ec0335025a8203c877f410e5f36d7b8010e2e4a9c88db82b504cf8d9a7b218	180
eros_receiver_relative_field	soma/life/examples/eros_receiver_relative_field.rs	81bc69f17ffc765ef6654ded0b42c41e057c294d8c155085d0ea4e8ea8753f01	180
eros_residual_chart_cultivation	soma/life/examples/eros_residual_chart_cultivation.rs	0d02a03cf681c11cb9da449057ba7cc3e1c1d3458be98ef4461d223fda458dd6	180
eros_resonant_corpus_current	soma/life/examples/eros_resonant_corpus_current.rs	9d1a31c38ec6b84af30f7044cc775b272f44a1dc6a2dc2d55faae14d8d320e24	180
eros_resonant_generation	soma/life/examples/eros_resonant_generation.rs	701c4f6645a061ee4f3a963590832a245b97a6d5dd33c5b981317df1a06707a3	180
eros_retriangulating_branch_transport	soma/life/examples/eros_retriangulating_branch_transport.rs	e4a950bca3195e9e4a12ce920d223f36ed407e9b6babb6bd3cc08912032daf84	180
eros_text_training	soma/life/examples/eros_text_training.rs	eb83143661c16b9b062007da5352c98d37727dfcc08c2170981ed51bad486f9a	180
eros_transformer_contextual_hexis	soma/life/examples/eros_transformer_contextual_hexis.rs	520c3d5b4723a0d3e7f5cc2e564975fa85e1695133704fede820fa96186e92b7	180
eros_transformer_translation_atlas	soma/life/examples/eros_transformer_translation_atlas.rs	9daa450d05346a79a1d461ce1a33dd297ba96b61914f54b36f85520f2d8ebe87	180
holonic-eta-ratio-atlas	crates/relational-geometry/examples/holonic_eta_ratio_atlas.rs	6cc7781071af633f02c255b519fe85d8d3855207cd51253eedec008f6ad132f0	12
lean-kernel-witness	ORPHAN	-	0
lean-plural-route-control	ORPHAN	-	0
lean-proof-production	ORPHAN	-	0
lean-proof-production-mathlib-core-frame	ORPHAN	-	0
lean-proof-production-mathlib-frame	ORPHAN	-	0
lean-proof-production-swing	ORPHAN	-	0
m0_mathematical_source_circulation	soma/life/examples/the_mathematical_source_circulates_without_a_grammar.rs	daaf81789c604acfb4242b1de1c4aaf5d738272d3f760912d8cf835e925b58be	180
m1_mathematical_operation_complex	ORPHAN	-	0
mms-reconnection	ORPHAN	-	0
n1_raw_optical_mathematical_recovery	ORPHAN	-	0
n1_raw_optical_mathematical_recovery_complete	ORPHAN	-	0
native_mathematical_consequence_precedes_every_codec	soma/life/examples/native_mathematical_consequence_precedes_every_codec.rs	1a0652260f541daf9cf690ce8196e1ba13ebeb67569bb76a5b17cfd61da98dab	180
recurring_laboratory_transport_condenses_into_native_hexis	soma/life/examples/recurring_laboratory_transport_condenses_into_native_hexis.rs	a90c3724f5fb11f0be92f89380acbb733162171751e0f859d89d6699ed15eb76	184
reintegrating-elaboration	ORPHAN	-	0
returned_theorem_families_cultivate_the_continuing_laboratory_rest	soma/life/examples/returned_theorem_families_cultivate_the_continuing_laboratory_rest.rs	a748b6a28f712580c857e672d362a1a2f62982fcd54873584b058a739a932fdd	185
source-revival	ORPHAN	-	0
the-conclusion-carries-its-relation	soma/life/examples/the_conclusion_carries_its_relation.rs	fac7c9499f216716b724caa0a211de4fffc77a56e0f7e11fe8f1eddf7a7f9c8c	180
the-declaration-is-a-formulation-node	soma/life/examples/the_declaration_is_a_formulation_node.rs	a3ea6c56ab690036aec42d0c6eb3199bd93a2286f17518a4ae28fc3d936bda4c	180
the-kernel-decides-which-moves-are-load-bearing	crates/holonic-engine/examples/the_kernel_decides_which_moves_are_load_bearing.rs	639f64909e4d9c1158b35bb2ba5a0e164cccf82bb8d1c9a8d153ac2023cb8bd1	215
the-reading-returns	crates/holonic-engine/examples/the_reading_returns.rs	4d91a94d07c324fb8523b5b9d2d8c00db88f85826fe52db4a7645932334b1cc5	215
the-recognition-precedes-the-run	soma/life/examples/the_recognition_precedes_the_run.rs	64e7fc7db1441ddad5c40f120699b40b67bd2def4087c19063a478178a50b160	180
the-returned-difference-is-a-ratio	ORPHAN	-	0
the-two-theorem-deed	ORPHAN	-	0
the_ablated_body_rests_and_remounts	soma/life/examples/the_ablated_body_rests_and_remounts.rs	c729665c6779c6d8de780168f3a65dc84700459746aef4d998a19bc40450ff14	180
the_acoustic_and_optical_spans_cross_one_athena_mouth_sens1	soma/life/examples/the_acoustic_and_optical_spans_cross_one_athena_mouth_sens1.rs	565a061c435cebd66ed4d89fc5312ea1c6594eca927b00beb2a33e06f439841b	180
the_acoustic_section_crosses_the_inherited_projection_and_three_ports_share_one_native_ecology	soma/life/examples/the_acoustic_section_crosses_the_inherited_projection_and_three_ports_share_one_native_ecology.rs	f2b25fa06d3466192285d31495623cf58523f02fd55af451e5393b4a093b7488	181
the_active_cover_condenses_into_a_generator_native_codec	soma/life/examples/the_active_cover_condenses_into_a_generator_native_codec.rs	903e55f3376db70f05d0de4650428c54a13f6e0d2e770476eccba0ed3628d322	184
the_addressed_current_athena_returns_unchanged_mem6_boundary	ORPHAN	-	0
the_affine_athena_ecology_returns_prose_mathematics_optics_code_and_participant_navigation_l6	ORPHAN	-	0
the_affine_laboratory_returns_one_relational_organ_over_four_cycle_fibres_l5_repair	ORPHAN	-	0
the_agentic_laboratory_athena_freezes	ORPHAN	-	0
the_application_infers	ORPHAN	-	0
the_application_infers_from_the_cultivated_phoenix_rest_on_the_card	crates/holonic-engine/examples/the_application_infers_from_the_cultivated_phoenix_rest_on_the_card.rs	5996d303aa15e96ffb159b47da03bd95eb7372fa6bb48f6234cfa12ad51a5c27	215
the_athena_alpha_cultivates_the_complete_laboratory_exchange	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-copresent-feature-replay-2026-08-23-m	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-degenerate-triangle-chart-2026-08-23-l	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-derived-horizon-2026-08-23-c	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-native-roundtrip-and-reintegrated-entry-2026-08-23-q	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-nonclosing-seed-edge-2026-08-23-h	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-one-open-obligation-2026-08-23-d	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-optical-continuation-2026-08-23-o	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-parent-witness-cartesian-replay-2026-08-23-i	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-prompt-reopened-receiver-quotient-2026-08-23-n	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-prompt-without-history-could-not-carry-continuation-2026-08-23-s	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-streaming-boundary-2026-08-23-a	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-surface-periodicity-was-not-state-recurrence-2026-08-23-r	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-terminal-fibre-2026-08-23-b	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-unbounded-generation-aperture-2026-08-23-j	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-unbounded-shortest-cover-2026-08-23-g	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.failed-unfactored-entry-pressure-2026-08-23-p	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.rejected-quadratic-transcript-scan-2026-08-23-f	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.rejected-serialized-obligations-2026-08-23-k	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.rejected-source-shaped-sentences-2026-08-23-e	ORPHAN	-	0
the_athena_alpha_cultivates_the_complete_laboratory_exchange.stopped-duplicate-history-separators-2026-08-23-t	ORPHAN	-	0
the_athena_alpha_failed_partition_discharge_v	ORPHAN	-	0
the_athena_alpha_failed_partition_mean_fixed_points_u	ORPHAN	-	0
the_athena_alpha_foreign_turn_codec_returns_a_sentence_probe	ORPHAN	-	0
the_athena_alpha_partitioned_frontier_proof_w	ORPHAN	-	0
the_athena_alpha_partitioned_recurrence_pressure_x	ORPHAN	-	0
the_athena_gemma_ecology_infers_returns_and_remounts	soma/life/examples/the_athena_gemma_ecology_infers_returns_and_remounts.rs	c08d775fcbc1f6e41fe14b79d9924770c8d4a7a15865ee652796fecd7d83ffc7	181
the_athena_holonics_mathematics_ecology_works_from_its_own_rested_terrain	soma/life/examples/the_athena_holonics_mathematics_ecology_works_from_its_own_rested_terrain.rs	d835de43c2de6c0f8935043ef951cdb0e6a2ca46d0482bd743f0d845a2296ec7	184
the_athena_membrane_interior_returns_one_dependent_resident_word_mem3	soma/life/examples/the_athena_membrane_interior_returns_one_dependent_resident_word_mem3.rs	3ead7c55e0f55f40b0e998b05ee99b6ad82b48b4555d9aa3b253162782e23486	180
the_athena_radiation_becomes_voice_and_its_room_return_cultivates_the_body_sens4	soma/life/examples/the_athena_radiation_becomes_voice_and_its_room_return_cultivates_the_body_sens4.rs	83a2371cd83e5474edb1d3e90d682457c6a48859257bd2c0d1b9b4b8e3813781	180
the_athena_radiation_forms_an_optical_field_and_its_image_returns_sens5	soma/life/examples/the_athena_radiation_forms_an_optical_field_and_its_image_returns_sens5.rs	2d87de83fd190084ecb4cca05e4528d43ee1e1c97412564e4448754cc9cce6b5	180
the_atlas_condenses	ORPHAN	-	0
the_bounded_athena_mathematics_physics_ecology_freezes	soma/life/examples/the_bounded_athena_mathematics_physics_ecology_freezes.rs	d9bd6b2bb71ac0aa8c22bf3a8c15d3550adbeba9c304b698af18c5eafa0ee128	185
the_brandon_causal_basin_returns_and_cultivates_one_athena_body	ORPHAN	-	0
the_brandon_causal_basin_returns_and_cultivates_one_athena_body_superseded_unresolved_address_chart	ORPHAN	-	0
the_brandon_receiver_returns_the_predecessor_and_native_aperture	ORPHAN	-	0
the_brandon_receiver_returns_the_predecessor_and_native_aperture_failed_codec_close_path	ORPHAN	-	0
the_candidate_departs_before_sibling_testimony_returns	ORPHAN	-	0
the_candidate_departs_before_sibling_testimony_returns_failed_path_collision_20260824	ORPHAN	-	0
the_candidate_departs_before_sibling_testimony_returns_passed_complete_fibre_incomplete_world_apparatus_20260824	ORPHAN	-	0
the_candidate_departs_before_sibling_testimony_returns_passed_incomplete_fibre_20260824	ORPHAN	-	0
the_card_returns_the_eta_boundary_and_the_zero_is_a_winding	crates/holonic-engine/examples/the_card_returns_the_eta_boundary_and_the_zero_is_a_winding.rs	0ba23b2fa355e76962293b4a38dd91a84578687f33a7b401b5a5e2f290b63672	215
the_causal_adjoint_cultivates_one_source_detached_athena_rest_l2	ORPHAN	-	0
the_causal_boundary_ports_cultivate_one_athena_successor_mem6	ORPHAN	-	0
