case	kind	moduli	gcd	lcm	orbits	orbit_length	vertices	edges	cells	seams	first_edge_types	second_edge_types	cell_shape_types	transition_types	max_shape_population	max_transition_population	hull_corners	contracted_sides	hull_edge_types	first_side_range	second_side_range	receiver_hull_side_range	series_terms	shape_fold	transition_fold	exact
0	prime-pair	2,3	1	6	1	6	6	12	6	12	1	3	3	3	2	2	5	2	4	4/1:4/1	36/13:16/5	4/13:4/1	6	7797040946138963239	16420623109770682103	1
1	prime-pair	3,5	1	15	1	15	15	30	15	30	3	5	15	15	1	1	8	3	8	36/13:16/5	16/13:64/41	16/117:16/5	15	8942591395083440458	3831978563208878777	1
2	prime-pair	5,7	1	35	1	35	35	70	35	70	5	7	35	35	1	1	12	5	12	16/13:64/41	16/29:64/65	16/261:64/41	32	9559136812259319549	8170162322985275594	1
3	prime-pair	7,11	1	77	1	77	77	154	77	154	7	11	77	77	1	1	18	7	18	16/29:64/65	16/85:64/137	16/765:64/65	32	16177472594536688662	1153948178005462997	1
4	prime-pair	11,13	1	143	1	143	143	286	143	286	11	13	143	143	1	1	24	11	24	16/85:64/137	16/125:64/185	16/1125:64/137	32	12970955268339145584	7883039398974609164	1
5	prime-pair	13,17	1	221	1	221	221	442	221	442	13	17	221	221	1	1	30	13	30	16/125:64/185	16/229:64/305	16/2061:64/185	32	13786665745266805584	10379606401702223566	1
6	prime-pair	17,19	1	323	1	323	323	646	323	646	17	19	323	323	1	1	36	17	36	16/229:64/305	16/293:64/377	16/2637:64/305	32	13858608658090358410	16537938331073825121	1
7	composite-coprime	4,5	1	20	1	20	20	40	20	40	1	5	5	5	4	4	9	4	6	2/1:2/1	16/13:64/41	16/117:2/1	20	9302513133249619547	360790574942020575	1
8	composite-coprime	8,9	1	72	1	72	72	144	72	144	2	9	18	18	4	4	17	8	11	2/5:4/5	16/53:64/97	16/477:4/5	32	16839219438210243343	15379620148036353527	1
9	shared-factor	6,9	3	18	3	18	54	108	54	108	3	9	27	27	2	2	15	6	12	4/5:16/13	16/53:64/97	16/477:16/13	18	9704820397300483507	17919150814744055145	1
10	shared-factor	8,12	4	24	4	24	96	192	96	192	2	3	6	6	16	16	20	8	5	2/5:4/5	2/13:2/5	2/117:4/5	24	2432409618784493993	10643623869783608313	1
11	reversed-dominance	7,11	1	77	1	77	77	154	77	154	7	11	77	77	1	1	18	11	18	16/29:64/65	16/85:64/137	16/261:64/137	32	16177472594536688662	1153948178005462997	1
12	exact-dilation	7,11	1	77	1	77	77	154	77	154	7	11	77	77	1	1	18	7	18	16/29:64/65	16/85:64/137	125/2448:125/52	32	16177472594536688662	1153948178005462997	1
13	exact-turn	7,11	1	77	1	77	77	154	77	154	7	11	77	77	1	1	18	7	18	16/29:64/65	16/85:64/137	16/765:64/65	32	16177472594536688662	1153948178005462997	1
14	reversed-pair	11,7	1	77	1	77	77	154	77	154	11	7	77	77	1	1	18	11	18	16/85:64/137	16/29:64/65	16/261:64/137	32	6186562383020571065	12988655636248498073	1
15	composite-coprime	9,10	1	90	1	90	90	180	90	180	9	5	45	45	2	2	19	9	14	16/53:64/97	4/17:16/29	4/153:64/97	32	6094859152869780392	13555608680514907267	1
