case	moduli	gcd	lcm	characteristic_factor	minimal_factor	shape_types	tour	formal_shape_monomial	fold	exact
0	2,3	1	6	(X^6-1)^1	X^6-1	3	0	s0^2*s1^2*s2^2	16908437251554604741	1
1	3,5	1	15	(X^15-1)^1	X^15-1	15	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1	9868751186300424502	1
2	5,7	1	35	(X^35-1)^1	X^35-1	35	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1	4531853961922811746	1
3	7,11	1	77	(X^77-1)^1	X^77-1	77	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1	11514530989483385216	1
4	11,13	1	143	(X^143-1)^1	X^143-1	143	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1*s77^1*s78^1*s79^1*s80^1*s81^1*s82^1*s83^1*s84^1*s85^1*s86^1*s87^1*s88^1*s89^1*s90^1*s91^1*s92^1*s93^1*s94^1*s95^1*s96^1*s97^1*s98^1*s99^1*s100^1*s101^1*s102^1*s103^1*s104^1*s105^1*s106^1*s107^1*s108^1*s109^1*s110^1*s111^1*s112^1*s113^1*s114^1*s115^1*s116^1*s117^1*s118^1*s119^1*s120^1*s121^1*s122^1*s123^1*s124^1*s125^1*s126^1*s127^1*s128^1*s129^1*s130^1*s131^1*s132^1*s133^1*s134^1*s135^1*s136^1*s137^1*s138^1*s139^1*s140^1*s141^1*s142^1	1466438601272782006	1
5	13,17	1	221	(X^221-1)^1	X^221-1	221	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1*s77^1*s78^1*s79^1*s80^1*s81^1*s82^1*s83^1*s84^1*s85^1*s86^1*s87^1*s88^1*s89^1*s90^1*s91^1*s92^1*s93^1*s94^1*s95^1*s96^1*s97^1*s98^1*s99^1*s100^1*s101^1*s102^1*s103^1*s104^1*s105^1*s106^1*s107^1*s108^1*s109^1*s110^1*s111^1*s112^1*s113^1*s114^1*s115^1*s116^1*s117^1*s118^1*s119^1*s120^1*s121^1*s122^1*s123^1*s124^1*s125^1*s126^1*s127^1*s128^1*s129^1*s130^1*s131^1*s132^1*s133^1*s134^1*s135^1*s136^1*s137^1*s138^1*s139^1*s140^1*s141^1*s142^1*s143^1*s144^1*s145^1*s146^1*s147^1*s148^1*s149^1*s150^1*s151^1*s152^1*s153^1*s154^1*s155^1*s156^1*s157^1*s158^1*s159^1*s160^1*s161^1*s162^1*s163^1*s164^1*s165^1*s166^1*s167^1*s168^1*s169^1*s170^1*s171^1*s172^1*s173^1*s174^1*s175^1*s176^1*s177^1*s178^1*s179^1*s180^1*s181^1*s182^1*s183^1*s184^1*s185^1*s186^1*s187^1*s188^1*s189^1*s190^1*s191^1*s192^1*s193^1*s194^1*s195^1*s196^1*s197^1*s198^1*s199^1*s200^1*s201^1*s202^1*s203^1*s204^1*s205^1*s206^1*s207^1*s208^1*s209^1*s210^1*s211^1*s212^1*s213^1*s214^1*s215^1*s216^1*s217^1*s218^1*s219^1*s220^1	990700348554622192	1
6	17,19	1	323	(X^323-1)^1	X^323-1	323	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1*s77^1*s78^1*s79^1*s80^1*s81^1*s82^1*s83^1*s84^1*s85^1*s86^1*s87^1*s88^1*s89^1*s90^1*s91^1*s92^1*s93^1*s94^1*s95^1*s96^1*s97^1*s98^1*s99^1*s100^1*s101^1*s102^1*s103^1*s104^1*s105^1*s106^1*s107^1*s108^1*s109^1*s110^1*s111^1*s112^1*s113^1*s114^1*s115^1*s116^1*s117^1*s118^1*s119^1*s120^1*s121^1*s122^1*s123^1*s124^1*s125^1*s126^1*s127^1*s128^1*s129^1*s130^1*s131^1*s132^1*s133^1*s134^1*s135^1*s136^1*s137^1*s138^1*s139^1*s140^1*s141^1*s142^1*s143^1*s144^1*s145^1*s146^1*s147^1*s148^1*s149^1*s150^1*s151^1*s152^1*s153^1*s154^1*s155^1*s156^1*s157^1*s158^1*s159^1*s160^1*s161^1*s162^1*s163^1*s164^1*s165^1*s166^1*s167^1*s168^1*s169^1*s170^1*s171^1*s172^1*s173^1*s174^1*s175^1*s176^1*s177^1*s178^1*s179^1*s180^1*s181^1*s182^1*s183^1*s184^1*s185^1*s186^1*s187^1*s188^1*s189^1*s190^1*s191^1*s192^1*s193^1*s194^1*s195^1*s196^1*s197^1*s198^1*s199^1*s200^1*s201^1*s202^1*s203^1*s204^1*s205^1*s206^1*s207^1*s208^1*s209^1*s210^1*s211^1*s212^1*s213^1*s214^1*s215^1*s216^1*s217^1*s218^1*s219^1*s220^1*s221^1*s222^1*s223^1*s224^1*s225^1*s226^1*s227^1*s228^1*s229^1*s230^1*s231^1*s232^1*s233^1*s234^1*s235^1*s236^1*s237^1*s238^1*s239^1*s240^1*s241^1*s242^1*s243^1*s244^1*s245^1*s246^1*s247^1*s248^1*s249^1*s250^1*s251^1*s252^1*s253^1*s254^1*s255^1*s256^1*s257^1*s258^1*s259^1*s260^1*s261^1*s262^1*s263^1*s264^1*s265^1*s266^1*s267^1*s268^1*s269^1*s270^1*s271^1*s272^1*s273^1*s274^1*s275^1*s276^1*s277^1*s278^1*s279^1*s280^1*s281^1*s282^1*s283^1*s284^1*s285^1*s286^1*s287^1*s288^1*s289^1*s290^1*s291^1*s292^1*s293^1*s294^1*s295^1*s296^1*s297^1*s298^1*s299^1*s300^1*s301^1*s302^1*s303^1*s304^1*s305^1*s306^1*s307^1*s308^1*s309^1*s310^1*s311^1*s312^1*s313^1*s314^1*s315^1*s316^1*s317^1*s318^1*s319^1*s320^1*s321^1*s322^1	3658418289028756290	1
7	4,5	1	20	(X^20-1)^1	X^20-1	5	0	s0^4*s1^4*s2^4*s3^4*s4^4	1104256366013365555	1
8	8,9	1	72	(X^72-1)^1	X^72-1	18	0	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4*s6^4*s7^4*s8^4*s9^4*s10^4*s11^4*s12^4*s13^4*s14^4*s15^4*s16^4*s17^4	14862008338234595221	1
9	6,9	3	18	(X^18-1)^3	X^18-1	27	0	s0^2*s3^2*s6^2*s10^2*s13^2*s16^2*s20^2*s23^2*s26^2	9844019405822722437	1
9	6,9	3	18	(X^18-1)^3	X^18-1	27	1	s1^2*s4^2*s7^2*s11^2*s14^2*s17^2*s18^2*s21^2*s24^2	6716909982016979189	1
9	6,9	3	18	(X^18-1)^3	X^18-1	27	2	s2^2*s5^2*s8^2*s9^2*s12^2*s15^2*s19^2*s22^2*s25^2	9452989374130544917	1
10	8,12	4	24	(X^24-1)^4	X^24-1	6	0	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4	4248197056924058741	1
10	8,12	4	24	(X^24-1)^4	X^24-1	6	1	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4	4248197056924058741	1
