kind	chart_or_degree	residue_or_zero_coefficient	characteristic	eigenflag_or_one_channels	resonant_source	cokernel	obstruction	lineage	exact
chart	zero:chart=157400	[[0,1],[0,-1]]	trace=-1,det=0,disc=1	eigen=-1,0,right=(1,-1),generalized=(0,0)	(0,0)	(1,1)	0	9527151572077924122	1
chart	one:chart=157401	[[0,0],[-1,-1]]	trace=-1,det=0,disc=1	eigen=-1,0,right=(0,1),generalized=(0,0)	(1,-1)	(1,0)	1	13681689276124397484	1
chart	infinity:chart=157402	[[0,-1],[1,2]]	trace=2,det=1,disc=0	eigen=1,1,right=(1,-1),generalized=(0,-1)	(0,0)	(0,0)	0	10975853934356145406	1
frobenius	0:term=188400	1/1	zero_step=1-1	one_regular=1,one_log=-1	-	-	0	7130480143500585260	1
frobenius	1:term=188401	1/2	zero_step=2-2	one_regular=1,one_log=-1	-	-	0	7170050493366283932	1
frobenius	2:term=188402	1/3	zero_step=3-3	one_regular=1,one_log=-1	-	-	0	13757092234455934200	1
frobenius	3:term=188403	1/4	zero_step=4-4	one_regular=1,one_log=-1	-	-	0	10144818700653940096	1
frobenius	4:term=188404	1/5	zero_step=5-5	one_regular=1,one_log=-1	-	-	0	9248309416060977524	1
frobenius	5:term=188405	1/6	zero_step=6-6	one_regular=1,one_log=-1	-	-	0	1984191998591290644	1
frobenius	6:term=188406	1/7	zero_step=7-7	one_regular=1,one_log=-1	-	-	0	8571224943587915224	1
frobenius	7:term=188407	1/8	zero_step=8-8	one_regular=1,one_log=-1	-	-	0	4958951409785921120	1
frobenius	8:term=188408	1/9	zero_step=9-9	one_regular=1,one_log=-1	-	-	0	2894821598379800732	1
frobenius	9:term=188409	1/10	zero_step=10-10	one_regular=1,one_log=-1	-	-	0	2934391948245499404	1
frobenius	10:term=188410	1/11	zero_step=11-11	one_regular=1,one_log=-1	-	-	0	9506146079659531528	1
frobenius	11:term=188411	1/12	zero_step=12-12	one_regular=1,one_log=-1	-	-	0	2069791616494375056	1
connection	zero_to_one:path=158402,B0=158400,B1=158401	[[0,1],[1,0]]	det=-1	basis_swap	-	-	0	6991965238362592227	1
loop	zero:word=158403	[[1+0*omega,0+0*omega],[0+0*omega,1+0*omega]]	(X-1)^2	fixed=2,nilpotent_rank=0	-	-	0	11119103798874148361	1
loop	one:word=158404	[[1+0*omega,0-1*omega],[0+0*omega,1+0*omega]]	(X-1)^2	fixed=1,nilpotent_rank=1	-	-	0	6702517336827367024	1
loop	infinity:word=158405	[[1+0*omega,0+1*omega],[0+0*omega,1+0*omega]]	(X-1)^2	fixed=1,nilpotent_rank=1	-	-	0	12366478850029529577	1
loop_product	zero*one*infinity	[[1+0*omega,0+0*omega],[0+0*omega,1+0*omega]]	(X-1)^2	fixed=2	-	-	0	13479032398350573892	1
