kind	owner	coordinate	transport	admitted	identity	lineage	obstruction	exact
code	210001	dimension=7	words=0,7,25,30,42,45,51,52,75,76,82,85,97,102,120,127,weights=1,0,0,7,7,0,0,1,dual=1,0,0,0,7,0,0,0	1	189400	7118885840448348048	0	1
pair	0	distance=3,shape=4x5	characteristic_roots=7,5,3,1,-1,-3,-5,-7,multiplicity=1,2,3,4,4,3,2,1,witness_eigenvalue=1	1	189410	18188768124986772071	0	1
cell	0	0:mass=1,witness=18	Q=0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	1:mass=4,witness=0	Q=1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	2:mass=6,witness=-6	Q=0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	3:mass=4,witness=0	Q=0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	4:mass=1,witness=18	Q=0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	5:mass=3,witness=6	Q=1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	6:mass=12,witness=0	Q=0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	7:mass=18,witness=-2	Q=0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	8:mass=12,witness=0	Q=0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	9:mass=3,witness=6	Q=0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	10:mass=3,witness=-6	Q=0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0	1	189410	18188768124986772071	0	1
cell	0	11:mass=12,witness=0	Q=0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0	1	189410	18188768124986772071	0	1
cell	0	12:mass=18,witness=2	Q=0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0	1	189410	18188768124986772071	0	1
cell	0	13:mass=12,witness=0	Q=0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0	1	189410	18188768124986772071	0	1
cell	0	14:mass=3,witness=-6	Q=0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1	1	189410	18188768124986772071	0	1
cell	0	15:mass=1,witness=-18	Q=0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0	1	189410	18188768124986772071	0	1
cell	0	16:mass=4,witness=0	Q=0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0	1	189410	18188768124986772071	0	1
cell	0	17:mass=6,witness=6	Q=0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0	1	189410	18188768124986772071	0	1
cell	0	18:mass=4,witness=0	Q=0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1	1	189410	18188768124986772071	0	1
