kind	owner	coordinate	transport	admitted	identity	lineage	obstruction	exact
translation	0	value=1,0,0,0,conjugate=1,0,0,0,norm=1,0,0,0	residue_mask=1	1	190410	15615512509141583138	0	1
translation	1	value=0,1,0,0,conjugate=-1,-1,-1,-1,norm=1,0,0,0	residue_mask=2	1	190411	15615512509141583139	0	1
translation	2	value=0,0,1,0,conjugate=0,0,0,1,norm=1,0,0,0	residue_mask=4	1	190412	15615512509141583140	0	1
translation	3	value=0,0,0,1,conjugate=0,0,1,0,norm=1,0,0,0	residue_mask=8	1	190413	15615512509141583141	0	1
translation	4	value=-1,-1,-1,-1,conjugate=0,1,0,0,norm=1,0,0,0	residue_mask=15	1	190414	15615512509141583142	0	1
graph	periodic	edges=40	traces=0,80,0,1040,1920,19280,67200,423440,1854720,10060880,47942400,246797840,1212731520,6127430480,30445833600,152803124240,characteristic=1,0,-40,0,540,-384,-3480,5760,8070,-29440,17640,37120,-82020,74880,-37800,10368,-1215,factors=m5:1,3;m10:1,-1;m1:1,-5	1	190420	15615512509141583148	0	1
edge	periodic	0-1	direction=0	1	190500	15615512509141773638	0	1
edge	periodic	0-2	direction=1	1	190501	15615512509141773641	0	1
edge	periodic	0-4	direction=2	1	190502	15615512509141773644	0	1
edge	periodic	0-8	direction=3	1	190503	15615512509141773647	0	1
edge	periodic	0-15	direction=4	1	190504	15615512509141773650	0	1
edge	periodic	1-3	direction=1	1	190505	15615512509141773645	0	1
edge	periodic	1-5	direction=2	1	190506	15615512509141773648	0	1
edge	periodic	1-9	direction=3	1	190507	15615512509141773651	0	1
edge	periodic	1-14	direction=4	1	190508	15615512509141773654	0	1
edge	periodic	2-3	direction=0	1	190509	15615512509141773647	0	1
edge	periodic	2-6	direction=2	1	190510	15615512509141773652	0	1
edge	periodic	2-10	direction=3	1	190511	15615512509141773655	0	1
edge	periodic	2-13	direction=4	1	190512	15615512509141773658	0	1
edge	periodic	3-7	direction=2	1	190513	15615512509141773655	0	1
edge	periodic	3-11	direction=3	1	190514	15615512509141773658	0	1
edge	periodic	3-12	direction=4	1	190515	15615512509141773661	0	1
edge	periodic	4-5	direction=0	1	190516	15615512509141773654	0	1
edge	periodic	4-6	direction=1	1	190517	15615512509141773657	0	1
edge	periodic	4-12	direction=3	1	190518	15615512509141773662	0	1
edge	periodic	4-11	direction=4	1	190519	15615512509141773665	0	1
edge	periodic	5-7	direction=1	1	190520	15615512509141773660	0	1
edge	periodic	5-13	direction=3	1	190521	15615512509141773665	0	1
edge	periodic	5-10	direction=4	1	190522	15615512509141773668	0	1
edge	periodic	6-7	direction=0	1	190523	15615512509141773661	0	1
edge	periodic	6-14	direction=3	1	190524	15615512509141773668	0	1
edge	periodic	6-9	direction=4	1	190525	15615512509141773671	0	1
edge	periodic	7-15	direction=3	1	190526	15615512509141773670	0	1
edge	periodic	7-8	direction=4	1	190527	15615512509141773673	0	1
edge	periodic	8-9	direction=0	1	190528	15615512509141773666	0	1
edge	periodic	8-10	direction=1	1	190529	15615512509141773669	0	1
edge	periodic	8-12	direction=2	1	190530	15615512509141773672	0	1
edge	periodic	9-11	direction=1	1	190531	15615512509141773671	0	1
edge	periodic	9-13	direction=2	1	190532	15615512509141773674	0	1
edge	periodic	10-11	direction=0	1	190533	15615512509141773671	0	1
edge	periodic	10-14	direction=2	1	190534	15615512509141773676	0	1
edge	periodic	11-15	direction=2	1	190535	15615512509141773677	0	1
edge	periodic	12-13	direction=0	1	190536	15615512509141773674	0	1
edge	periodic	12-14	direction=1	1	190537	15615512509141773677	0	1
edge	periodic	13-15	direction=1	1	190538	15615512509141773678	0	1
edge	periodic	14-15	direction=0	1	190539	15615512509141773677	0	1
graph	window	edges=33	traces=0,66,0,674,240,9330,7056,145474,157680,2360466,3204432,38864738,62218416,644381874,1176057360,10732308610,characteristic=1,0,-33,0,376,-48,-1984,576,4992,-2304,-4864,3072,0,0,0,0,0,factors=m3:1,2;m5:1,0;m3:1,-2;m1:1,1,-4;m1:1,-1,-16,12	1	190430	15615512509141583158	0	1
edge	window	0-1	direction=0	1	190500	15615512509141773638	0	1
edge	window	0-2	direction=1	1	190501	15615512509141773641	0	1
edge	window	0-4	direction=2	1	190502	15615512509141773644	0	1
edge	window	0-8	direction=3	1	190503	15615512509141773647	0	1
edge	window	0-15	direction=4	1	190504	15615512509141773650	0	1
edge	window	1-3	direction=1	1	190505	15615512509141773645	0	1
edge	window	1-5	direction=2	1	190506	15615512509141773648	0	1
edge	window	1-9	direction=3	1	190507	15615512509141773651	0	1
edge	window	2-3	direction=0	1	190508	15615512509141773646	0	1
edge	window	2-6	direction=2	1	190509	15615512509141773651	0	1
edge	window	2-10	direction=3	1	190510	15615512509141773654	0	1
edge	window	3-7	direction=2	1	190511	15615512509141773653	0	1
edge	window	3-11	direction=3	1	190512	15615512509141773656	0	1
edge	window	4-5	direction=0	1	190513	15615512509141773651	0	1
edge	window	4-6	direction=1	1	190514	15615512509141773654	0	1
edge	window	4-12	direction=3	1	190515	15615512509141773659	0	1
edge	window	5-7	direction=1	1	190516	15615512509141773656	0	1
edge	window	5-13	direction=3	1	190517	15615512509141773661	0	1
edge	window	6-7	direction=0	1	190518	15615512509141773656	0	1
edge	window	6-14	direction=3	1	190519	15615512509141773663	0	1
edge	window	7-15	direction=3	1	190520	15615512509141773664	0	1
edge	window	8-9	direction=0	1	190521	15615512509141773659	0	1
edge	window	8-10	direction=1	1	190522	15615512509141773662	0	1
edge	window	8-12	direction=2	1	190523	15615512509141773665	0	1
edge	window	9-11	direction=1	1	190524	15615512509141773664	0	1
edge	window	9-13	direction=2	1	190525	15615512509141773667	0	1
edge	window	10-11	direction=0	1	190526	15615512509141773664	0	1
edge	window	10-14	direction=2	1	190527	15615512509141773669	0	1
edge	window	11-15	direction=2	1	190528	15615512509141773670	0	1
edge	window	12-13	direction=0	1	190529	15615512509141773667	0	1
edge	window	12-14	direction=1	1	190530	15615512509141773670	0	1
edge	window	13-15	direction=1	1	190531	15615512509141773671	0	1
edge	window	14-15	direction=0	1	190532	15615512509141773670	0	1
lost	aperture	1-14	direction=4	0	190601	15615512509141964255	aperture	1
lost	aperture	2-13	direction=4	0	190602	15615512509141964260	aperture	1
lost	aperture	3-12	direction=4	0	190603	15615512509141964264	aperture	1
lost	aperture	4-11	direction=4	0	190604	15615512509141964269	aperture	1
lost	aperture	5-10	direction=4	0	190605	15615512509141964273	aperture	1
lost	aperture	6-9	direction=4	0	190606	15615512509141964277	aperture	1
lost	aperture	7-8	direction=4	0	190607	15615512509141964280	aperture	1
commutator	window	axis=0	nonzero=4,square=4	0	190450	15615512509141773608	interchange	1
commutator	window	axis=1	nonzero=4,square=4	0	190450	15615512509141773608	interchange	1
commutator	window	axis=2	nonzero=4,square=4	0	190450	15615512509141773608	interchange	1
commutator	window	axis=3	nonzero=4,square=4	0	190450	15615512509141773608	interchange	1
candidate	0	expected=33	returned=32,contact=0,injective=1	0	190700	15615512509141773868	rejected	1
candidate	1	expected=33	returned=40,contact=0,injective=1	0	190701	15615512509141773869	rejected	1
candidate	2	expected=16	returned=5,contact=1,injective=0	0	190702	15615512509141773870	rejected	1
