kind	owner	coordinate	transport	admitted	identity	lineage	obstruction	exact
ray	fan0	1,0	class=1	1	190413	16241887753902576714	0	1
ray	fan0	0,1	class=1	1	190413	16241887753902576714	0	1
ray	fan0	-1,-1	class=1	1	190413	16241887753902576714	0	1
ray	fan1	1,0	class=1,0	1	190414	16241887753902576715	0	1
ray	fan1	0,1	class=0,1	1	190414	16241887753902576715	0	1
ray	fan1	-1,0	class=1,0	1	190414	16241887753902576715	0	1
ray	fan1	0,-1	class=0,1	1	190414	16241887753902576715	0	1
inverse_fiber	target0	class=2,3	representatives=42	1	190440	16241887753902576718	0	1
representative	target0	coefficients=-2,-1,4,4	support=15	1	190480	16241887753902576719	0	1
representative	target0	coefficients=-2,0,4,3	support=13	1	190481	16241887753902576720	0	1
representative	target0	coefficients=-2,1,4,2	support=15	1	190482	16241887753902576721	0	1
representative	target0	coefficients=-2,2,4,1	support=15	1	190483	16241887753902576722	0	1
representative	target0	coefficients=-2,3,4,0	support=7	1	190484	16241887753902576723	0	1
representative	target0	coefficients=-2,4,4,-1	support=15	1	190485	16241887753902576724	0	1
representative	target0	coefficients=-1,-1,3,4	support=15	1	190486	16241887753902576725	0	1
representative	target0	coefficients=-1,0,3,3	support=13	1	190487	16241887753902576726	0	1
representative	target0	coefficients=-1,1,3,2	support=15	1	190488	16241887753902576727	0	1
representative	target0	coefficients=-1,2,3,1	support=15	1	190489	16241887753902576728	0	1
representative	target0	coefficients=-1,3,3,0	support=7	1	190490	16241887753902576729	0	1
representative	target0	coefficients=-1,4,3,-1	support=15	1	190491	16241887753902576730	0	1
representative	target0	coefficients=0,-1,2,4	support=14	1	190492	16241887753902576731	0	1
representative	target0	coefficients=0,0,2,3	support=12	1	190493	16241887753902576732	0	1
representative	target0	coefficients=0,1,2,2	support=14	1	190494	16241887753902576733	0	1
representative	target0	coefficients=0,2,2,1	support=14	1	190495	16241887753902576734	0	1
representative	target0	coefficients=0,3,2,0	support=6	1	190496	16241887753902576735	0	1
representative	target0	coefficients=0,4,2,-1	support=14	1	190497	16241887753902576736	0	1
representative	target0	coefficients=1,-1,1,4	support=15	1	190498	16241887753902576737	0	1
representative	target0	coefficients=1,0,1,3	support=13	1	190499	16241887753902576738	0	1
representative	target0	coefficients=1,1,1,2	support=15	1	190500	16241887753902576739	0	1
representative	target0	coefficients=1,2,1,1	support=15	1	190501	16241887753902576740	0	1
representative	target0	coefficients=1,3,1,0	support=7	1	190502	16241887753902576741	0	1
representative	target0	coefficients=1,4,1,-1	support=15	1	190503	16241887753902576742	0	1
representative	target0	coefficients=2,-1,0,4	support=11	1	190504	16241887753902576743	0	1
representative	target0	coefficients=2,0,0,3	support=9	1	190505	16241887753902576744	0	1
representative	target0	coefficients=2,1,0,2	support=11	1	190506	16241887753902576745	0	1
representative	target0	coefficients=2,2,0,1	support=11	1	190507	16241887753902576746	0	1
representative	target0	coefficients=2,3,0,0	support=3	1	190508	16241887753902576747	0	1
representative	target0	coefficients=2,4,0,-1	support=11	1	190509	16241887753902576748	0	1
representative	target0	coefficients=3,-1,-1,4	support=15	1	190510	16241887753902576749	0	1
