family	index	prefix	source	predicted	compared_equal	changed	short	exclusion
0	0	1	1/2	1/2	1	8	9	10
0	1	0	1/3	1/3	1	8	9	10
0	2	0	1/4	1/4	1	8	9	10
0	3	0	1/5	1/5	1	8	9	10
0	4	0	1/6	1/6	1	8	9	10
0	5	0	1/7	1/7	1	8	9	10
0	6	0	1/8	1/8	1	8	9	10
0	7	0	1/9	1/9	1	8	9	10
0	8	0	1/10	1/10	1	8	9	10
0	9	0	1/11	1/11	1	8	9	10
1	0	1	1/1	1/1	1	8	9	10
1	1	0	1/4	1/4	1	8	9	10
1	2	0	9/64	9/64	1	8	9	10
1	3	0	25/256	25/256	1	8	9	10
1	4	0	1225/16384	1225/16384	1	8	9	10
1	5	0	3969/65536	3969/65536	1	8	9	10
1	6	0	53361/1048576	53361/1048576	1	8	9	10
1	7	0	184041/4194304	184041/4194304	1	8	9	10
1	8	0	41409225/1073741824	41409225/1073741824	1	8	9	10
2	0	1	2/1	2/1	1	8	9	10
2	1	1	2/1	2/1	1	8	9	10
2	2	0	-6/1	-6/1	1	8	9	10
2	3	0	-22/1	-22/1	1	8	9	10
2	4	0	-14/1	-14/1	1	8	9	10
2	5	0	82/1	82/1	1	8	9	10
2	6	0	234/1	234/1	1	8	9	10
2	7	0	58/1	58/1	1	8	9	10
2	8	0	-1054/1	-1054/1	1	8	9	10
3	0	1	1/1	1/1	1	8	9	10
3	1	1	3/1	3/1	1	8	9	10
3	2	1	6/1	6/1	1	8	9	10
3	3	0	10/1	10/1	1	8	9	10
3	4	0	15/1	15/1	1	8	9	10
3	5	0	21/1	21/1	1	8	9	10
3	6	0	28/1	28/1	1	8	9	10
3	7	0	36/1	36/1	1	8	9	10
3	8	0	45/1	45/1	1	8	9	10
