family	candidate	order	degree	features	rows	rank	nullity	obstruction	selected	coefficients
0	0	1	0	2	7	2	0	2	0	0,0
0	1	2	0	3	6	3	0	2	0	0,0,0
0	2	1	1	4	7	3	1	0	1	1,1,-2,-1
0	3	3	0	4	5	4	0	2	0	0,0,0,0
0	4	1	2	6	7	4	2	3	0	0,0,0,0,0,0
0	5	2	1	6	6	4	2	3	0	0,0,0,0,0,0
0	6	3	1	8	5	0	0	1	0	0,0,0,0,0,0,0,0
0	7	2	2	9	6	0	0	1	0	0,0,0,0,0,0,0,0,0
0	8	3	2	12	5	0	0	1	0	0,0,0,0,0,0,0,0,0,0,0,0
1	0	1	0	2	6	2	0	2	0	0,0
1	1	2	0	3	5	3	0	2	0	0,0,0
1	2	1	1	4	6	4	0	2	0	0,0,0,0
1	3	3	0	4	4	4	0	2	0	0,0,0,0
1	4	1	2	6	6	5	1	0	1	1,4,4,-4,-8,-4
1	5	2	1	6	5	5	1	0	0	544,1403,16760,13512,-33664,-14912
1	6	3	1	8	4	0	0	1	0	0,0,0,0,0,0,0,0
1	7	2	2	9	5	0	0	1	0	0,0,0,0,0,0,0,0,0
1	8	3	2	12	4	0	0	1	0	0,0,0,0,0,0,0,0,0,0,0,0
2	0	1	0	2	6	2	0	2	0	0,0
2	1	2	0	3	5	2	1	0	1	5,-2,1
2	2	1	1	4	6	4	0	2	0	0,0,0,0
2	3	3	0	4	4	2	2	3	0	0,0,0,0
2	4	1	2	6	6	6	0	2	0	0,0,0,0,0,0
2	5	2	1	6	5	4	2	3	0	0,0,0,0,0,0
2	6	3	1	8	4	0	0	1	0	0,0,0,0,0,0,0,0
2	7	2	2	9	5	0	0	1	0	0,0,0,0,0,0,0,0,0
2	8	3	2	12	4	0	0	1	0	0,0,0,0,0,0,0,0,0,0,0,0
3	0	1	0	2	16	2	0	2	0	0,0
3	1	2	0	3	12	3	0	2	0	0,0,0
3	2	1	1	4	16	4	0	2	0	0,0,0,0
3	3	3	0	4	8	3	1	0	1	1,-3,3,-1
3	4	1	2	6	16	6	0	2	0	0,0,0,0,0,0
3	5	2	1	6	12	6	0	2	0	0,0,0,0,0,0
3	6	3	1	8	8	6	2	3	0	0,0,0,0,0,0,0,0
3	7	2	2	9	12	9	0	2	0	0,0,0,0,0,0,0,0,0
3	8	3	2	12	8	0	0	1	0	0,0,0,0,0,0,0,0,0,0,0,0
control	constant	-	-	-	-	-	-	3	0	-
control	short	-	-	-	-	-	-	1	0	-
