code	conditions	errors	selected
0	0	7	0
1	1	2	0
2	1	6	0
3	1	2	0
4	2	1	0
5	2	2	0
6	1	6	0
7	2	2	0
8	2	5	0
9	1	2	0
10	2	1	0
11	2	2	0
12	2	1	0
13	3	1	0
14	3	1	0
15	2	2	0
16	3	1	0
17	3	2	0
18	1	6	0
19	2	2	0
20	2	5	0
21	2	2	0
22	3	1	0
23	3	2	0
24	2	5	0
25	3	2	0
26	3	4	0
27	1	6	0
28	2	2	0
29	2	5	0
30	2	2	0
31	3	1	0
32	3	2	0
33	2	5	0
34	3	2	0
35	3	4	0
36	2	2	0
37	3	1	0
38	3	2	0
39	3	1	0
40	4	1	0
41	4	1	0
42	3	2	0
43	4	1	0
44	4	2	0
45	2	5	0
46	3	2	0
47	3	4	0
48	3	2	0
49	4	1	0
50	4	2	0
51	3	4	0
52	4	2	0
53	4	3	0
54	1	2	0
55	2	1	0
56	2	2	0
57	2	1	0
58	3	1	0
59	3	1	0
60	2	2	0
61	3	1	0
62	3	2	0
63	2	1	0
64	3	1	0
65	3	1	0
66	3	1	0
67	4	1	0
68	4	1	0
69	3	1	0
70	4	1	0
71	4	1	0
72	2	2	0
73	3	1	0
74	3	2	0
75	3	1	0
76	4	1	0
77	4	1	0
78	3	2	0
79	4	1	0
80	4	2	0
81	1	6	0
82	2	2	0
83	2	5	0
84	2	2	0
85	3	1	0
86	3	2	0
87	2	5	0
88	3	2	0
89	3	4	0
90	2	2	0
91	3	1	0
92	3	2	0
93	3	1	0
94	4	1	0
95	4	1	0
96	3	2	0
97	4	1	0
98	4	2	0
99	2	5	0
100	3	2	0
101	3	4	0
102	3	2	0
103	4	1	0
104	4	2	0
105	3	4	0
106	4	2	0
107	4	3	0
108	2	5	0
109	3	2	0
110	3	4	0
111	3	2	0
112	4	1	0
113	4	2	0
114	3	4	0
115	4	2	0
116	4	3	0
117	3	2	0
118	4	1	0
119	4	2	0
120	4	1	0
121	5	1	0
122	5	1	0
123	4	2	0
124	5	1	0
125	5	2	0
126	3	4	0
127	4	2	0
128	4	3	0
129	4	2	0
130	5	1	0
131	5	2	0
132	4	3	0
133	5	2	0
134	5	2	0
135	2	2	0
136	3	1	0
137	3	2	0
138	3	1	0
139	4	1	0
140	4	1	0
141	3	2	0
142	4	1	0
143	4	2	0
144	3	1	0
145	4	1	0
146	4	1	0
147	4	1	0
148	5	1	0
149	5	1	0
150	4	1	0
151	5	1	0
152	5	1	0
153	3	2	0
154	4	1	0
155	4	2	0
156	4	1	0
157	5	1	0
158	5	1	0
159	4	2	0
160	5	1	0
161	5	2	0
162	1	2	0
163	2	1	0
164	2	2	0
165	2	1	0
166	3	1	0
167	3	1	0
168	2	2	0
169	3	1	0
170	3	2	0
171	2	1	0
172	3	1	0
173	3	1	0
174	3	1	0
175	4	1	0
176	4	1	0
177	3	1	0
178	4	1	0
179	4	1	0
180	2	2	0
181	3	1	0
182	3	2	0
183	3	1	0
184	4	1	0
185	4	1	0
186	3	2	0
187	4	1	0
188	4	2	0
189	2	2	0
190	3	1	0
191	3	2	0
192	3	1	0
193	4	1	0
194	4	1	0
195	3	2	0
196	4	1	0
197	4	2	0
198	3	1	0
199	4	1	0
200	4	1	0
201	4	1	0
202	5	1	0
203	5	1	0
204	4	1	0
205	5	1	0
206	5	1	0
207	3	2	0
208	4	1	0
209	4	2	0
210	4	1	0
211	5	1	0
212	5	1	0
213	4	2	0
214	5	1	0
215	5	2	0
216	2	1	0
217	3	1	0
218	3	1	0
219	3	1	0
220	4	1	0
221	4	1	0
222	3	1	0
223	4	1	0
224	4	1	0
225	3	1	0
226	4	1	0
227	4	1	0
228	4	1	0
229	5	1	0
230	5	1	0
231	4	1	0
232	5	1	0
233	5	1	0
234	3	1	0
235	4	1	0
236	4	1	0
237	4	1	0
238	5	1	0
239	5	1	0
240	4	1	0
241	5	1	0
242	5	1	0
243	1	6	0
244	2	2	0
245	2	5	0
246	2	2	0
247	3	1	0
248	3	2	0
249	2	5	0
250	3	2	0
251	3	4	0
252	2	2	0
253	3	1	0
254	3	2	0
255	3	1	0
256	4	1	0
257	4	1	0
258	3	2	0
259	4	1	0
260	4	2	0
261	2	5	0
262	3	2	0
263	3	4	0
264	3	2	0
265	4	1	0
266	4	2	0
267	3	4	0
268	4	2	0
269	4	3	0
270	2	5	0
271	3	2	0
272	3	4	0
273	3	2	0
274	4	1	0
275	4	2	0
276	3	4	0
277	4	2	0
278	4	3	0
279	3	2	0
280	4	1	0
281	4	2	0
282	4	1	0
283	5	1	0
284	5	1	0
285	4	2	0
286	5	1	0
287	5	2	0
288	3	4	0
289	4	2	0
290	4	3	0
291	4	2	0
