kind	candidate	population	collisions	obstruction	selected	residual
identity	1	1	10	1	0	-
identity	2	1	10	1	0	-
identity	3	2	6	1	0	-
identity	4	1	10	1	0	-
identity	5	2	6	1	0	-
identity	6	2	6	1	0	-
identity	7	3	3	1	0	-
identity	8	1	10	1	0	-
identity	9	2	6	1	0	-
identity	10	2	6	1	0	-
identity	11	3	3	1	0	-
identity	12	2	6	1	0	-
identity	13	3	3	1	0	-
identity	14	3	3	1	0	-
identity	15	4	1	1	0	-
identity	16	1	10	1	0	-
identity	17	2	6	1	0	-
identity	18	2	6	1	0	-
identity	19	3	3	1	0	-
identity	20	2	6	1	0	-
identity	21	3	3	1	0	-
identity	22	3	3	1	0	-
identity	23	4	1	1	0	-
identity	24	2	6	1	0	-
identity	25	3	3	1	0	-
identity	26	3	3	1	0	-
identity	27	4	1	1	0	-
identity	28	3	3	1	0	-
identity	29	4	1	1	0	-
identity	30	4	1	1	0	-
identity	31	5	0	0	1	-
boundary	0	-	-	0	1	0,0,0,0,0,0,0,0,
boundary	1	-	-	2	0	2,2,2,0,2,2,0,2,
boundary	2	-	-	0	0	0,0,0,0,0,0,0,0,
boundary	3	-	-	2	0	-2,2,0,0,2,-2,0,0,
