kind	index	rows	features	rank	nullity	obstruction	selected	value
candidate	0	900	21	20	1	0	0	2,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,
candidate	1	2704	21	20	1	0	0	2,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,
candidate	2	2704	21	20	1	0	0	2,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,
candidate	3	6308	21	20	1	0	1	2,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,
candidate	4	6308	11	11	0	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
candidate	5	6308	20	20	0	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
candidate	6	8	21	4	17	1	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
witness	0	-	-	-	-	0	1	0,15
witness	1	-	-	-	-	0	1	4096,8192
witness	2	-	-	-	-	0	1	4,120
witness	3	-	-	-	-	0	1	4096,8192
witness	4	-	-	-	-	0	1	15,15
strata	closed	-	-	-	-	0	1	0,440,5868
