law=every generated path is deposited; this records which of them the kernel admitted
columns=outcome ordinal source_sha256 artifact
admitted 0 bf9352e121451c3451c23e1161ade5d582d7f2341312832e824a31f5af84988d carrier-transport-direct-00000.lean
refused  1 b804665ba2b6da118e5b2bfb48231173b6c2263fdd8990f20c11dea763b0ed7c carrier-transport-direct-00001.lean
refused  2 f66ee550d2ba30120484356fd459b90a0d6d6e7680432237986574368212aa8d carrier-transport-direct-00002.lean
refused  3 0da0bb5645fea5e2aaf4779aae0f96f52f9b090e7334fff8ce2ab9f5980eb80b carrier-transport-direct-00003.lean
refused  4 d22b1b862c133a78a353fe4d6fd42b61dd143c73128658e23024f47beee11bf8 carrier-transport-direct-00004.lean
admitted 5 9c96a15e853f0c41383eac15156654c1b3c7b7940b780b40c36e68dad013724e carrier-transport-direct-00005.lean
admitted 6 c3e0c57e2c7dd8047f1c8880a57af5def7cd1eb67b6c9f6c4917fd7565082b31 carrier-transport-direct-00006.lean
refused  7 d5758f9256f42280af9eddf593fa034672b5e5c6c452a8c33988047e525c292a carrier-transport-direct-00007.lean
refused  8 c1009cd80070f5bd781b649b11cf9ca60f7f505fcc16a79e65a486db43949cc8 carrier-transport-direct-00008.lean
refused  9 933e74ff7744fa3d32dee536507aa01a357b3aea36e81162c4560c8b2c233546 carrier-transport-direct-00009.lean
refused  10 7c58245c0e1d32bfc99d70da08f33735d856400cfe4df1c61a2af9f8c007a7d8 carrier-transport-direct-00010.lean
refused  11 904c8401883d40d2be53de23dd081a1491c3f870eba14a0c03475277f681a56c carrier-transport-direct-00011.lean
refused  12 bf0ce92515e6b305a64475524447cb3dcdb486adc13531775e4bca6f3fcaf4bd carrier-transport-direct-00012.lean
admitted 13 6bc0d4e503ab317d1bdde41528ec1038fa427deae782264691804c84b920359e carrier-transport-direct-00013.lean
admitted 14 c14381e0090dec26bb3abcc5f140597ccc71eb3c60e5ac37b8119a4ede43d2e7 carrier-transport-direct-00014.lean
refused  15 06d417bc9222e4f15945d6d957b665e2b9f1abb906544ed8bc159f298e989ab0 carrier-transport-direct-00015.lean
admitted 16 630ce9db106ef7027dfe65b2c8d6da457fac8bc6453e934f30cd96134e02a62e carrier-transport-direct-00016.lean
refused  17 bf56f1d5ea087dcbd0003093e5deb459e336aad2fdf1bf3ce59032fff0c5c9a3 carrier-transport-direct-00017.lean
refused  18 9d6d6376160cc0ceb7ac5fbd3620d2ddc8f42ac7409d05ec39eee30435993c02 carrier-transport-direct-00018.lean
refused  19 dd7afba4c16c20e413095425b138495b0957709144345554b6ced3cfd3a60297 carrier-transport-direct-00019.lean
refused  20 5369c2ed08e3567ebcc5c28c71ae59e62be4d81e6121ccca85b051e0468db5f0 carrier-transport-direct-00020.lean
admitted 21 22c784d44bce819ff8ad23376821f1f72c92a29ad9a2f8e46bd361e6bd5f1aa6 carrier-transport-direct-00021.lean
admitted 22 e4df7be8a1a93ee266e92f9b8bc016c909605ae47a95f4892a7b808e4eb61869 carrier-transport-direct-00022.lean
refused  23 82b32cad45972b58fbc217476fec6d1b1f2ac4d2c80eb368ab1901b07ada1388 carrier-transport-direct-00023.lean
refused  24 2a13716765172a4bc1a491e6c042fa6935eea660b92a2aa2abb9bd3a30c5b620 carrier-transport-direct-00024.lean
admitted 25 dd1b8d994e86b7e09a36b43e9ff2b7c9f945e1d38f858a0dbc2f08eba1eb9d81 carrier-transport-direct-00025.lean
refused  26 86d365bf45daa029a7be1ab4e3287644b1237e5e453a05e992979b39abd8eefa carrier-transport-direct-00026.lean
refused  27 47eab49b495e4e137b64417be6354d160dbed207fd238d29c2457dbff6ec862c carrier-transport-direct-00027.lean
refused  28 1a3d5cd570bb2f48ddc42bfeae2f4573de9b34c02cb6f032f6120ce81eaf098a carrier-transport-direct-00028.lean
refused  29 2d51eb596d681d7971e22d53740ee8d203b8b3d4f266db4a52d9d2621df4a9a0 carrier-transport-direct-00029.lean
refused  30 43f6f0c90cbb7992f1c3e027ec50bbacc0d8d6c834d2bd3488dddd8e8a278fcb carrier-transport-direct-00030.lean
admitted 0 29a6dd56e1ebe96ff8cbd157f469ebcb7969f92f5a27bcbf237b5279ad6cce80 carrier-transport-relayed-00000.lean
